family,model_name,context_size,question_count,f1,cost_per_sample_usd,input_tokens_per_sample,output_tokens_per_sample
LLM,openai/gpt-5-mini,100,10.0,0.8666666666666668,0.00262456,10243.2,1123.4
LLM,openai/gpt-5-mini,100,10.0,0.9666666666666668,0.0027603600000000003,10243.2,1191.3
LLM,openai/gpt-5-mini,100,10.0,0.9666666666666668,0.0018461599999999997,10243.2,734.2
LLM,openai/gpt-5-mini,100,10.0,0.9666666666666668,0.005674075,10263.5,1554.1
LLM,openai/gpt-5-mini,500,10.0,0.6466666666666667,0.003926364999999999,50891.7,1278.2
LLM,openai/gpt-5-mini,500,10.0,0.7466666666666667,0.003968965,50891.7,1299.5
LLM,openai/gpt-5-mini,500,10.0,0.6466666666666667,0.004291965,50891.7,1461.0
LLM,openai/gpt-5-mini,500,10.0,0.7833333333333333,0.003083365,50891.7,856.7
LLM,openai/gpt-5-mini,500,10.0,0.6466666666666667,0.015773725,50891.7,1525.4
LLM,openai/gpt-5-mini,100,10.0,0.9666666666666666,0.0037798,10243.2,609.5
CodeAct,openai/gpt-5-mini,500,10.0,0.5133333333333334,0.03324393,126228.2,11973.2
CodeAct,openai/gpt-5-mini,500,10.0,0.4833333333333333,0.02797969,127602.6,11261.6
CodeAct,openai/gpt-5-mini,500,10.0,0.5166666666666666,0.036367495,142275.9,14800.7
CodeAct,openai/gpt-5-mini,500,10.0,0.3833333333333333,0.04610082,153364.4,19166.9
CodeAct,openai/gpt-5-mini,500,10.0,0.2833333333333333,0.036228529999999995,131028.2,10302.3
CodeAct,openai/gpt-5-mini,100,10.0,1.0,0.02327619,23515.0,9500.8
CodeAct,openai/gpt-5-mini,100,10.0,1.0,0.02498259,27887.0,11038.7
CodeAct,openai/gpt-5-mini,100,10.0,0.8666666666666668,0.021944595000000004,25026.7,9775.0
CodeAct,openai/gpt-5-mini,100,10.0,1.0,0.026408165,35884.5,11147.8
CodeAct,openai/gpt-5-mini,100,10.0,0.98,0.034633335,36057.5,14448.2
RLM,openai/gpt-5-mini,-1,10.0,1.0,0.00416891,9575.0,1518.3
RLM,openai/gpt-5-mini,-1,10.0,1.0,0.003752105,7479.3,1436.5
RLM,openai/gpt-5-mini,-1,10.0,1.0,0.00394983,7456.6,1538.2
RLM,openai/gpt-5-mini,-1,10.0,1.0,0.0037416,7459.2,1413.6
RLM,openai/gpt-5-mini,-1,10.0,1.0,0.0050247,10346.0,1823.9
RLM,openai/gpt-5-mini,500,10.0,1.0,0.003534794999999999,8624.3,1252.4
RLM,openai/gpt-5-mini,500,10.0,1.0,0.003908385,10149.7,1402.6
RLM,openai/gpt-5-mini,500,10.0,1.0,0.00429111,9838.2,1575.3
RLM,openai/gpt-5-mini,500,10.0,1.0,0.0045147799999999995,9726.8,1695.3
RLM,openai/gpt-5-mini,500,10.0,1.0,0.0035255549999999997,7869.9,1288.8
RLM,openai/gpt-5-mini,100,10.0,1.0,0.0031737149999999997,9331.5,1035.3
RLM,openai/gpt-5-mini,100,10.0,1.0,0.0033948400000000005,7351.2,1256.6
RLM,openai/gpt-5-mini,100,10.0,1.0,0.004069675,12202.7,1344.7
RLM,openai/gpt-5-mini,100,10.0,0.9,0.00305774,7738.0,1082.9
RLM,openai/gpt-5-mini,100,10.0,1.0,0.00385993,13998.6,1186.7
