family,task_number,model_name,context_size,question_count,f1,cost_per_sample_usd,input_tokens_per_sample,output_tokens_per_sample
LLM,2,openai/gpt-5-mini,500,6.0,0.0,0.002816933333333334,51396.0,727.1666666666666
LLM,2,openai/gpt-5-mini,500,6.0,0.0,0.0042385999999999995,51396.0,1438.0
LLM,2,openai/gpt-5-mini,500,6.0,0.0,0.003697266666666667,51396.0,1167.3333333333333
LLM,2,openai/gpt-5-mini,500,6.0,0.0,0.0026506,51396.0,644.0
LLM,2,openai/gpt-5-mini,500,6.0,0.0,0.015158333333333334,51396.0,1154.6666666666667
LLM,2,openai/gpt-5-mini,100,6.0,0.0625,0.007341208333333334,10523.5,3303.1666666666665
LLM,2,openai/gpt-5-mini,100,6.0,0.0,0.0028967416666666663,10523.5,1251.3333333333333
LLM,2,openai/gpt-5-mini,100,6.0,0.10317460317460318,0.009077075,10523.5,4341.5
LLM,2,openai/gpt-5-mini,100,6.0,0.1,0.006422741666666666,10523.5,3014.3333333333335
LLM,2,openai/gpt-5-mini,100,6.0,0.0784313725490196,0.004774408333333333,10523.5,2190.1666666666665
LLM,3,openai/gpt-5-mini,500,5.0,0.0,0.0034799,51833.2,1049.6
LLM,3,openai/gpt-5-mini,500,5.0,0.0,0.003288699999999999,51833.2,954.0
LLM,3,openai/gpt-5-mini,500,5.0,0.0,0.0026331,51833.2,626.2
LLM,3,openai/gpt-5-mini,500,5.0,0.0,0.0037719,51833.2,1195.6
LLM,3,openai/gpt-5-mini,500,5.0,0.0,0.0149355,51833.2,988.6
LLM,3,openai/gpt-5-mini,100,5.0,0.0962566844919786,0.007851420000000001,10094.0,3767.0
LLM,3,openai/gpt-5-mini,100,5.0,0.10769230769230768,0.008385819999999999,10094.0,4034.2
LLM,3,openai/gpt-5-mini,100,5.0,0.0,0.00533342,10094.0,2508.0
LLM,3,openai/gpt-5-mini,100,5.0,0.15644444444444444,0.00911542,10094.0,4399.0
LLM,3,openai/gpt-5-mini,100,5.0,0.05714285714285715,0.0117599,10094.0,5064.6
LLM,4,openai/gpt-5-mini,500,5.0,0.0,0.01439455,51749.4,728.6
LLM,4,openai/gpt-5-mini,500,5.0,0.0,0.00288407,51749.4,742.0
LLM,4,openai/gpt-5-mini,500,5.0,0.0,0.00265887,51749.4,629.4
LLM,4,openai/gpt-5-mini,500,5.0,0.0,0.0026630300000000003,51749.4,628.6
LLM,4,openai/gpt-5-mini,500,5.0,0.0,0.014287749999999998,51749.4,675.2
LLM,4,openai/gpt-5-mini,100,5.0,0.05,0.00458702,10737.2,2126.4
LLM,4,openai/gpt-5-mini,100,5.0,0.0,0.00240422,10737.2,1035.0
LLM,4,openai/gpt-5-mini,100,5.0,0.0,0.0065202199999999984,10737.2,3093.0
LLM,4,openai/gpt-5-mini,100,5.0,0.0,0.0034182199999999996,10737.2,1542.0
LLM,4,openai/gpt-5-mini,100,5.0,0.05714285714285714,0.0074527,10737.2,2384.2
LLM,5,openai/gpt-5-mini,500,4.0,0.0,0.0017574625,50454.25,198.75
