family,task_number,context,question_count,f1,f1_std,cost,input_tokens,output_tokens
CodeAct,2,100,6.0,0.8822222222222222,0.12444444444444445,0.027418255,32260.966666666667,11859.066666666668
CodeAct,2,500,6.0,0.2938128252944345,0.10181607325199918,0.035594895,142439.36666666667,11943.566666666666
CodeAct,3,100,5.0,0.8653516186533264,0.1572469223977567,0.026063706000000002,28372.52,11482.28
CodeAct,3,500,5.0,0.17019336244795366,0.072109566308921,0.032835468,109894.96,11644.0
CodeAct,4,100,5.0,0.92,0.0979795897113271,0.028504702,32157.239999999998,12323.0
CodeAct,4,500,5.0,0.21258064516129033,0.011181503233830329,0.033182374,130626.52,12735.0
CodeAct,5,100,4.0,0.9,0.1224744871391589,0.027034290000000002,29775.8,11774.45
CodeAct,5,500,4.0,0.3451567794950148,0.10564896005151952,0.02495825,108831.4,8796.8
LLM,2,100,6.0,0.06882119514472455,0.03747250841461951,0.006102435,10523.5,2820.1
LLM,2,500,6.0,0.0,0.0,0.005712346666666667,51396.0,1026.2333333333333
LLM,3,100,5.0,0.08350725875431758,0.052413436144103515,0.008489196000000001,10094.0,3954.56
LLM,3,500,5.0,0.0,0.0,0.00562182,51833.2,962.8
LLM,4,100,5.0,0.02142857142857143,0.026341555592265392,0.004876475999999999,10737.2,2036.12
LLM,4,500,5.0,0.0,0.0,0.007377654,51749.4,680.76
LLM,5,100,4.0,0.0,0.0,0.0034690375,10357.75,1347.0
LLM,5,500,4.0,0.0,0.0,0.0043306825,50454.25,360.0
RLM,2,full,6.0,1.0,0.0,0.007775528333333333,21158.7,2504.366666666667
RLM,2,100,6.0,1.0,0.0,0.0052559799999999995,13778.266666666666,1871.4666666666667
RLM,2,500,6.0,1.0,0.0,0.005877863333333333,13043.666666666666,2223.8333333333335
RLM,3,full,5.0,0.9998279639698125,0.00034407206037494474,0.00956723,26702.52,2923.24
RLM,3,100,5.0,1.0,0.0,0.004488412000000001,9912.88,1718.76
RLM,3,500,5.0,1.0,0.0,0.006384868,18730.96,2271.48
RLM,4,full,5.0,1.0,0.0,0.0057909932,14997.56,1978.92
RLM,4,100,5.0,1.0,0.0,0.004705798,12407.0,1689.64
RLM,4,500,5.0,1.0,0.0,0.004463366,9700.76,1688.4
RLM,5,full,4.0,1.0,0.0,0.007938055,23807.1,2317.3
RLM,5,100,4.0,1.0,0.0,0.005596124,15292.4,2009.6
RLM,5,500,4.0,1.0,0.0,0.0055816825,14059.45,2014.05
