family,task_id,model_name,context_size,question_count,f1,cost_per_sample_usd,input_tokens_per_sample,output_tokens_per_sample
LLM,6,openai/gpt-5-mini,500,4.0,0.19166666666666665,0.0099507375,50339.75,4338.5
LLM,6,openai/gpt-5-mini,500,4.0,0.16666666666666666,0.0090402375,50339.75,3883.25
LLM,6,openai/gpt-5-mini,500,4.0,0.2954545454545454,0.0117092375,50339.75,5217.75
LLM,6,openai/gpt-5-mini,500,4.0,0.07142857142857142,0.0107817375,50339.75,4754.0
LLM,6,openai/gpt-5-mini,500,4.0,0.30952380952380953,0.0239054375,50339.75,5660.25
LLM,6,openai/gpt-5-mini,100,4.0,0.7,0.0152339,10458.0,7472.5
LLM,6,openai/gpt-5-mini,100,4.0,0.625,0.0146674,10458.0,7189.25
LLM,6,openai/gpt-5-mini,100,4.0,0.6,0.0140949,10458.0,6903.0
LLM,6,openai/gpt-5-mini,100,4.0,0.7,0.0140829,10458.0,6897.0
LLM,6,openai/gpt-5-mini,100,4.0,0.6,0.014520475,10791.5,6782.5
CodeAct,6,openai/gpt-5-mini,500,4.0,0.0,0.0126248375,78625.75,5045.0
CodeAct,6,openai/gpt-5-mini,500,4.0,0.1904761904761905,0.023918375,122509.5,9551.5
CodeAct,6,openai/gpt-5-mini,500,4.0,0.1875,0.0275300625,139330.25,10982.75
CodeAct,6,openai/gpt-5-mini,500,4.0,0.15,0.018224775,119885.5,7025.5
CodeAct,6,openai/gpt-5-mini,500,4.0,0.14814814814814814,0.03422485,95723.0,9438.25
CodeAct,6,openai/gpt-5-mini,100,4.0,0.5395299145299145,0.0419826875,69590.75,18250.5
CodeAct,6,openai/gpt-5-mini,100,4.0,0.4553571428571429,0.02405325,30177.0,10612.5
CodeAct,6,openai/gpt-5-mini,100,4.0,0.6578282828282829,0.023770625,29664.5,10247.25
CodeAct,6,openai/gpt-5-mini,100,4.0,0.6767676767676768,0.031109200000000004,35982.0,13213.25
CodeAct,6,openai/gpt-5-mini,100,4.0,0.7272727272727273,0.0449422625,55676.25,19792.0
RLM,6,openai/gpt-5-mini,-1,4.0,0.49686167012873167,0.0131747625,30566.25,4455.0
RLM,6,openai/gpt-5-mini,-1,4.0,0.5016068368518042,0.0173846125,47521.25,5959.75
RLM,6,openai/gpt-5-mini,-1,4.0,0.5130515283175789,0.011887875,24873.5,4130.75
RLM,6,openai/gpt-5-mini,-1,4.0,0.4983770919510518,0.0129159625,20300.25,5191.25
RLM,6,openai/gpt-5-mini,-1,4.0,0.5065608898737344,0.0140236125,26573.25,5241.75
RLM,6,openai/gpt-5-mini,500,4.0,0.6289855072463768,0.009827025,15578.5,3931.0
RLM,6,openai/gpt-5-mini,500,4.0,0.5684343434343434,0.0144027125,35031.25,5497.25
RLM,6,openai/gpt-5-mini,500,4.0,0.6634380178331887,0.010840337499999998,17445.75,4456.25
RLM,6,openai/gpt-5-mini,500,4.0,0.5664893617021277,0.0153603875,34600.75,5871.5
RLM,6,openai/gpt-5-mini,500,4.0,0.5795454545454546,0.017747137500000003,30009.75,7116.75
RLM,6,openai/gpt-5-mini,100,4.0,0.6666666666666666,0.011553925,24894.5,4396.75
RLM,6,openai/gpt-5-mini,100,4.0,0.6856060606060606,0.0408911125,166821.25,15598.5
RLM,6,openai/gpt-5-mini,100,4.0,0.7045454545454546,0.0174156375,44141.75,6192.5
RLM,6,openai/gpt-5-mini,100,4.0,0.6772727272727274,0.0208775625,69620.25,7820.25
RLM,6,openai/gpt-5-mini,100,4.0,0.7045454545454546,0.008004525,8550.5,3466.25
LLM,7,openai/gpt-5-mini,500,5.0,0.2871794871794872,0.01124052,51231.2,4970.6
LLM,7,openai/gpt-5-mini,500,5.0,0.29004329004329005,0.00861612,51231.2,3658.4
LLM,7,openai/gpt-5-mini,500,5.0,0.4233766233766234,0.01013772,51231.2,4419.2
LLM,7,openai/gpt-5-mini,500,5.0,0.3090909090909091,0.008180920000000001,51231.2,3440.8
LLM,7,openai/gpt-5-mini,500,5.0,0.4014652014652015,0.024285,51231.2,5738.6
LLM,7,openai/gpt-5-mini,100,5.0,0.7929292929292928,0.01123739,10374.2,5462.4
LLM,7,openai/gpt-5-mini,100,5.0,0.7833333333333333,0.00918404,10424.8,4429.4
LLM,7,openai/gpt-5-mini,100,5.0,0.8433333333333334,0.00897374,10398.0,4327.6
LLM,7,openai/gpt-5-mini,100,5.0,0.865151515151515,0.00892369,10762.6,4055.4
LLM,7,openai/gpt-5-mini,100,5.0,0.8373737373737373,0.01169965,10368.2,4553.8
CodeAct,7,openai/gpt-5-mini,500,5.0,0.3777777777777779,0.0267489,122456.4,10897.8
CodeAct,7,openai/gpt-5-mini,500,5.0,0.4895238095238096,0.035239900000000005,162478.0,14230.2
CodeAct,7,openai/gpt-5-mini,500,5.0,0.3276190476190476,0.017816529999999997,108104.2,6949.8
CodeAct,7,openai/gpt-5-mini,500,5.0,0.4698412698412699,0.02105338,109462.8,8398.4
CodeAct,7,openai/gpt-5-mini,500,5.0,0.2920634920634921,0.04787226,142726.8,14876.4
CodeAct,7,openai/gpt-5-mini,100,5.0,0.9636363636363636,0.030783650000000003,32237.0,13709.4
CodeAct,7,openai/gpt-5-mini,100,5.0,0.9206349206349206,0.029199750000000003,32391.0,12898.2
CodeAct,7,openai/gpt-5-mini,100,5.0,0.9818181818181818,0.02871836,32285.6,12437.4
CodeAct,7,openai/gpt-5-mini,100,5.0,0.8262626262626263,0.03321322,47531.6,14576.2
CodeAct,7,openai/gpt-5-mini,100,5.0,0.7333333333333333,0.029666549999999996,37480.6,12020.2
RLM,7,openai/gpt-5-mini,-1,5.0,0.7559582246089063,0.012665140000000002,16438.8,5216.6
RLM,7,openai/gpt-5-mini,-1,5.0,0.732311475066174,0.01494571,24215.8,6027.0
RLM,7,openai/gpt-5-mini,-1,5.0,0.8557110789469469,0.01287554,26005.2,5004.4
