family,task_id,context,question_count,run_count,f1,f1_std,cost,input_tokens,output_tokens
CodeAct,11,100,2.0,5,0.8333333333333333,0.25819888974716115,0.02790136,32341.6,11748.3
CodeAct,11,500,2.0,5,0.0,0.0,0.039062865,142518.5,15176.3
CodeAct,12,100,2.0,5,0.8622222222222222,0.1710678155903798,0.028018095,32798.3,12185.9
CodeAct,12,500,2.0,5,0.04444444444444444,0.05443310539518173,0.04550481,145605.0,18005.7
CodeAct,12b,100,1.0,5,0.0,0.0,0.04481544,54448.0,18988.6
CodeAct,12b,500,1.0,5,0.0,0.0,0.03768874,127982.8,14527.8
CodeAct,13,100,4.0,5,0.2,0.18708286933869708,0.0295147625,31316.65,12398.0
CodeAct,13,500,4.0,5,0.0,0.0,0.036599,132658.4,12751.2
CodeAct,14,100,2.0,5,0.8,0.2449489742783178,0.031079919,33427.1,13486.5
CodeAct,14,500,2.0,5,0.3,0.2449489742783178,0.03250235,141371.0,11338.2
CodeAct,15,100,4.0,5,0.9,0.1224744871391589,0.03380139,37938.6,14400.45
CodeAct,15,500,4.0,5,0.05,0.1,0.0345109625,152728.65,12557.2
CodeAct,16,100,10.0,5,0.15492063492063493,0.12925976821701426,0.0441577826,56627.38,18740.04
CodeAct,16,500,10.0,5,0.0,0.0,0.028325466,127175.4,10259.28
CodeAct,17,100,5.0,5,0.5872681704260652,0.1290286709890437,0.0438782444,52848.76,19318.32
CodeAct,17,500,5.0,5,0.026666666666666665,0.05333333333333333,0.031320634,149564.84,10897.0
CodeAct,17b,100,5.0,5,0.4944600938967136,0.16140252401401511,0.03807386,52947.92,16424.84
CodeAct,17b,500,5.0,5,0.003999999999999999,0.007999999999999998,0.026654894,136189.56,8873.8
LLM,11,100,2.0,5,0.5466666666666666,0.09333333333333335,0.010704601,10362.5,4864.7
LLM,11,500,2.0,5,0.15,0.1224744871391589,0.007934568,50224.0,2173.7
LLM,12,100,2.0,5,0.6213675213675214,0.20531188357614596,0.010137179999999999,10002.0,4716.9
LLM,12,500,2.0,5,0.0,0.0,0.00587496,49776.0,1191.0
LLM,12b,100,1.0,5,0.13333333333333333,0.26666666666666666,0.00878872,11504.0,3469.0
LLM,12b,500,1.0,5,0.0,0.0,0.005528330000000001,51689.0,945.6
LLM,13,100,4.0,5,0.0,0.0,0.001040155,10685.5,140.55
LLM,13,500,4.0,5,0.0,0.0,0.003741595,50881.5,84.05
LLM,14,100,2.0,5,0.3,0.2449489742783178,0.009997437000000001,9816.5,4538.6
LLM,14,500,2.0,5,0.0,0.0,0.007953771,50051.5,2206.4
LLM,15,100,4.0,5,0.05,0.1,0.00632343,10597.0,2650.45
LLM,15,500,4.0,5,0.0,0.0,0.0067380515,51728.75,1247.7
LLM,16,100,10.0,5,0.06466666666666666,0.03487119154832539,0.0073910196,10686.76,3159.14
LLM,16,500,10.0,5,0.0,0.0,0.006037087,51061.5,1106.48
LLM,17,100,5.0,5,0.6599999999999999,0.07999999999999996,0.0116829344,10446.4,5228.48
LLM,17,500,5.0,5,0.10666666666666666,0.05333333333333333,0.0106304336,51304.8,2806.68
LLM,17b,100,5.0,5,0.5599999999999999,0.19136933459209762,0.0119263268,10265.0,5497.92
LLM,17b,500,5.0,5,0.10666666666666666,0.05333333333333333,0.010639256,51226.4,3050.28
RLM,11,full,2.0,5,1.0,0.0,0.007788403,13084.3,3076.2
RLM,11,100,2.0,5,1.0,0.0,0.007271055,14786.3,2729.0
RLM,11,500,2.0,5,1.0,0.0,0.00834718,19511.6,3050.8
RLM,12,full,2.0,5,1.0,0.0,0.00915797,11297.0,3809.1
RLM,12,100,2.0,5,1.0,0.0,0.00705745,12067.4,2805.1
RLM,12,500,2.0,5,1.0,0.0,0.007845715,11357.9,3168.4
RLM,12b,full,1.0,5,0.9999029597282872,0.00019408054342551218,0.006755700000000001,9326.8,2744.8
RLM,12b,100,1.0,5,1.0,0.0,0.0058606,10469.6,2212.0
RLM,12b,500,1.0,5,1.0,0.0,0.00598147,10791.8,2312.8
RLM,13,full,4.0,5,0.7932635093859158,0.11756116412236374,0.017452016,36366.4,6603.2
RLM,13,100,4.0,5,0.85,0.1224744871391589,0.0129254725,20133.25,5143.2
RLM,13,500,4.0,5,0.7,0.1,0.017522738,38185.4,6642.85
RLM,14,full,2.0,5,0.6731818181818182,0.2034254409093974,0.01794992,20469.6,7578.5
RLM,14,100,2.0,5,0.9,0.2,0.024012062,66885.4,9020.3
RLM,14,500,2.0,5,0.9,0.2,0.021196760000000002,37983.2,8302.8
RLM,15,full,4.0,5,0.8333333333333334,0.10540925533894598,0.012878366,21011.8,5049.3
RLM,15,100,4.0,5,1.0,0.0,0.011726763999999999,21400.0,4473.55
RLM,15,500,4.0,5,1.0,0.0,0.0118394825,18292.25,4728.25
RLM,16,full,10.0,3,0.0452991452991453,0.032048432921799444,0.034576956666666665,70357.8,13699.833333333332
RLM,16,100,10.0,5,0.4018253968253968,0.1085299976644527,0.035362917,112989.3,13060.74
RLM,16,500,10.0,5,0.31666666666666665,0.09113482076328211,0.037931488799999996,110440.56,14626.78
RLM,17,full,5.0,5,0.029853357962767182,0.011893819401836302,0.0197297044,48612.68,7522.68
RLM,17,100,5.0,5,0.7733333333333333,0.09977753031397175,0.0431613132,128820.92,16725.440000000002
RLM,17,500,5.0,5,0.3373333333333333,0.08039900496896711,0.17784559959999996,187352.28,80611.08
RLM,17b,full,5.0,5,0.07574602462810943,0.04942482660897813,0.022695346800000002,67950.68,8276.2
RLM,17b,100,5.0,5,0.7,0.16599866130651642,0.0214775496,82693.52,7354.2
RLM,17b,500,5.0,5,0.6066666666666667,0.09043106644167026,0.02958721,117142.44,10349.2
