model,capability_group,mean_f1,weighted_question_runs,terminal_failed_jobs
qwen3.5,bond_changes,0.849162897378849,15,0
qwen3.5,stereochemistry,0.4,10,5
qwen3.5,mechanisms,0.3812717722436128,50,0
qwen3.5,mechanical_graph,0.9564343417991253,25,0
qwen3.5,chemically_constrained_graph,0.7828707180125712,50,0
qwen3.5,route_and_multi_constraint,0.04647373280395064,100,1
deepseek-v4-flash,bond_changes,0.8,15,0
deepseek-v4-flash,stereochemistry,0.28478250755989765,10,4
deepseek-v4-flash,mechanisms,0.25675061208940086,50,0
deepseek-v4-flash,mechanical_graph,0.7199805919456574,25,0
deepseek-v4-flash,chemically_constrained_graph,0.35183201505618117,50,0
deepseek-v4-flash,route_and_multi_constraint,0.020476190476190474,100,0
gemini-3.7-flash,bond_changes,1.0,15,0
gemini-3.7-flash,stereochemistry,0.598115840893231,10,4
gemini-3.7-flash,mechanisms,0.5706450898789526,50,0
gemini-3.7-flash,mechanical_graph,1.0,25,0
gemini-3.7-flash,chemically_constrained_graph,0.9331011663097842,50,0
gemini-3.7-flash,route_and_multi_constraint,0.24981811874703744,100,3
gpt-5-mini,bond_changes,1.0,15,0
gpt-5-mini,stereochemistry,0.598115840893231,10,4
gpt-5-mini,mechanisms,0.30246947743148567,50,0
gpt-5-mini,mechanical_graph,0.9599417758369723,25,0
gpt-5-mini,chemically_constrained_graph,0.45877942934770716,50,0
gpt-5-mini,route_and_multi_constraint,0.0446157027036584,100,0
claude-haiku-4.5,bond_changes,0.6110611555873348,15,0
claude-haiku-4.5,stereochemistry,0.36100783874580067,10,5
claude-haiku-4.5,mechanisms,0.20668962548606928,50,0
claude-haiku-4.5,mechanical_graph,0.3947340956206936,25,0
claude-haiku-4.5,chemically_constrained_graph,0.2931296168429678,50,0
claude-haiku-4.5,route_and_multi_constraint,0.019863868474148907,100,0
