study,model_label,arm,condition,context,tier,mean_f1,sd_f1,mean_precision,sd_precision,mean_recall,sd_recall,replications,scored_question_trajectories,total_question_trajectories,score_coverage
matched_cardinality,GPT-5 mini,matched,cardinality-x5000-k20,5000,2,0.981090909090909,0.025964056528303883,0.9808571428571428,0.026256194604360347,0.9814999999999999,0.025470571253900093,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,cardinality-x5000-k20,5000,3,0.5254477960052882,0.02945242194260019,0.4989293443194964,0.0355875263880992,0.7536904761904762,0.04037645274795614,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,cardinality-x5000-k5,5000,2,0.99,0.022360679774997918,0.99,0.022360679774997918,0.99,0.022360679774997918,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,cardinality-x5000-k5,5000,3,0.41808097323751775,0.022853202132832037,0.3814228736046164,0.023639792909234694,0.745904761904762,0.043531207040404446,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,scale-x100-k1,100,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
matched_cardinality,GPT-5 mini,matched,scale-x100-k1,100,2,0.97,0.02738612787525833,0.97,0.02738612787525833,0.97,0.02738612787525833,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,scale-x100-k1,100,3,0.6713260390403246,0.027938469392134336,0.6342312925170067,0.03671196859428097,0.8,0.045175395145262545,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,scale-x500-k1,500,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
matched_cardinality,GPT-5 mini,matched,scale-x500-k1,500,2,1.0,0.0,1.0,0.0,1.0,0.0,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,scale-x500-k1,500,3,0.5649617055111316,0.025387380519775436,0.5296782619122943,0.032446511729328185,0.8,0.06060915267313261,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,scale-x5000-k1,5000,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
matched_cardinality,GPT-5 mini,matched,scale-x5000-k1,5000,2,0.99,0.022360679774997918,0.99,0.022360679774997918,0.99,0.022360679774997918,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,scale-x5000-k1,5000,3,0.34368028645981646,0.060254949675918726,0.3172537165432988,0.05924176717528221,0.7457142857142858,0.09280218153663836,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,scale-x50000-k1,50000,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
matched_cardinality,GPT-5 mini,matched,scale-x50000-k1,50000,2,0.961111111111111,0.03986861137335368,0.9605882352941176,0.04078596339046782,0.97,0.02738612787525833,5,100,100,1.0
matched_cardinality,GPT-5 mini,matched,scale-x50000-k1,50000,3,0.21677681780579888,0.03224758180224225,0.20610779994721212,0.0359532970242866,0.6512925170068027,0.05212766751168877,5,175,175,1.0
matched_cardinality,GPT-5 mini,matched,scale-xfull-k1,full,1,1.0,0.0,1.0,0.0,1.0,0.0,5,50,50,1.0
