study,arm,model,model_label,context,condition,tier,task,repetition,question_count,status,f1,score_available,original_f1,score_correction_status,ground_truth_version,calls,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,process_wall_time_seconds,peak_combined_memory_mib,run_id,result_updated_at,sources
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,100,scale-x100-k1,1,tier1/task1,1,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,70,0.23628552999999997,544929,22748,567677,629.9233348648995,0.014466026797890663,653.5650150123984,390.62109375,matched-qwen3.5-397b-tier1-task1-scale-x100-k1-r01,2026-09-19T20:06:46.984135+00:00,jed25-qwen-matched-openrouter-pilot
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,100,scale-x100-k1,1,tier1/task1,2,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,86,0.28339165000000005,743155,22386,765541,600.4079471509904,0.015170152299106121,606.8687426359393,389.8203125,matched-qwen3.5-397b-tier1-task1-scale-x100-k1-r02,2026-09-19T20:16:59.702632+00:00,jed25-qwen-matched-openrouter-s1
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,100,scale-x100-k1,1,tier1/task1,3,10,succeeded,0.9,True,0.9,not_affected,rxnhaystack-human-1.6.0,71,0.25248791000000004,488615,30352,518967,568.720839837566,22.671806877478957,575.6847384124994,392.2109375,matched-qwen3.5-397b-tier1-task1-scale-x100-k1-r03,2026-09-19T20:17:26.196981+00:00,jed25-qwen-matched-openrouter-s2
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,100,scale-x100-k1,1,tier1/task1,4,10,succeeded,0.9,True,0.9,not_affected,rxnhaystack-human-1.6.0,95,0.27340986,705941,26047,731988,565.704798379913,0.02746758423745632,630.6688519474119,388.3828125,matched-qwen3.5-397b-tier1-task1-scale-x100-k1-r04,2026-09-19T22:44:17.176410+00:00,jed25-qwen-matched-openrouter-s3;jed25-r2-qwen-matched-openrouter-repair1
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,100,scale-x100-k1,1,tier1/task1,5,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,67,0.22071835,430713,28422,459135,675.3351657139137,161.24823929462582,681.8574927998707,393.37890625,matched-qwen3.5-397b-tier1-task1-scale-x100-k1-r05,2026-09-19T20:18:17.227884+00:00,jed25-qwen-matched-openrouter-s4
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,500,scale-x500-k1,1,tier1/task1,1,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,73,0.20064087,466341,20125,486466,485.511421576608,0.01883932901546359,489.0713688940741,385.61328125,matched-qwen3.5-397b-tier1-task1-scale-x500-k1-r01,2026-09-19T20:25:09.654318+00:00,jed25-qwen-matched-openrouter-s1
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,500,scale-x500-k1,1,tier1/task1,2,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,72,0.24084441,489562,28666,518228,798.2353684324771,113.70109583996236,885.2512029763311,382.38671875,matched-qwen3.5-397b-tier1-task1-scale-x500-k1-r02,2026-09-19T20:32:19.562532+00:00,jed25-qwen-matched-openrouter-s2
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,500,scale-x500-k1,1,tier1/task1,3,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,85,0.25184850000000003,576548,25801,602349,532.3626390136778,0.027896729297935963,536.3564956625924,381.3828125,matched-qwen3.5-397b-tier1-task1-scale-x500-k1-r03,2026-09-19T20:18:47.954147+00:00,jed25-qwen-matched-openrouter-s3
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,500,scale-x500-k1,1,tier1/task1,4,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,67,0.17824558,413772,18947,432719,584.7307006772608,0.021260096691548824,588.8975580269471,380.94140625,matched-qwen3.5-397b-tier1-task1-scale-x500-k1-r04,2026-09-19T20:28:40.724522+00:00,jed25-qwen-matched-openrouter-s4
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,500,scale-x500-k1,1,tier1/task1,5,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,77,0.30498044999999996,504965,51381,556346,788.8671329831704,206.35028371959925,792.397505399771,381.9296875,matched-qwen3.5-397b-tier1-task1-scale-x500-k1-r05,2026-09-19T20:38:22.894559+00:00,jed25-qwen-matched-openrouter-s1
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,5000,scale-x5000-k1,1,tier1/task1,1,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,72,0.23736980999999996,469838,24438,494276,554.4755233433098,0.0699712336063385,559.2967591546476,385.22265625,matched-qwen3.5-397b-tier1-task1-scale-x5000-k1-r01,2026-09-19T20:41:41.010765+00:00,jed25-qwen-matched-openrouter-s2
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,5000,scale-x5000-k1,1,tier1/task1,2,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,73,0.2620915,486515,24820,511335,415.2086016125977,0.09272356145083904,422.2859312649816,398.28125,matched-qwen3.5-397b-tier1-task1-scale-x5000-k1-r02,2026-09-19T22:38:27.294797+00:00,jed25-qwen-matched-openrouter-s3;jed25-r2-qwen-matched-openrouter-repair2
matched_cardinality,matched-provisional,RCP-AIaaS/Qwen/Qwen3.5-397B-A17B,Qwen 3.5,5000,scale-x5000-k1,1,tier1/task1,3,10,succeeded,1.0,True,1.0,not_affected,rxnhaystack-human-1.6.0,65,0.18531837,377444,21421,398865,638.3653393136337,0.06510408222675323,736.288664936088,393.36328125,matched-qwen3.5-397b-tier1-task1-scale-x5000-k1-r03,2026-09-19T20:41:17.159669+00:00,jed25-qwen-matched-openrouter-s4
