scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
codeact_x1000,full-qwen3.5-397b-tier1-task1-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,1,tier1/task1,1000,1,10,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,27,0.0,0.0,2841733,5017,2846750,515.8019042590167,0.030756382853724062,763.55078125,0.0,763.55078125,518.5718606180162,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier1-task1-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,1,tier1/task1,1000,2,10,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,27,0.0,0.0,2838734,4750,2843484,536.038609880954,0.030860192782711238,762.84765625,0.0,762.84765625,538.7253518649959,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier1-task1-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,1,tier1/task1,1000,3,10,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,26,0.0,0.0,2736888,4725,2741613,515.9226154760108,0.031193853064905852,762.765625,0.0,762.765625,518.6385096820304,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier1-task1-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,1,tier1/task1,1000,4,10,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,27,0.0,0.0,2840379,5148,2845527,503.85847856500186,0.03153159603243694,763.41796875,0.0,763.41796875,507.12250099604717,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier1-task1-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,1,tier1/task1,1000,5,10,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,25,0.0,0.0,2627609,4282,2631891,501.32249894196866,0.09924982109805569,762.80078125,0.0,762.80078125,504.4043228360242,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task2-codeact-x1000-r01,qwen3.5,Qwen 3.5,codeact,2,tier2/task2,1000,1,6,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,19,0.0,0.0,2011137,9122,2020259,365.66953500703676,1.2437703370815143,778.234375,0.0,778.234375,370.1006684890017,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task2-codeact-x1000-r02,qwen3.5,Qwen 3.5,codeact,2,tier2/task2,1000,2,6,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,20,0.0,0.0,2118320,8786,2127106,347.78396534197964,1.2232351659913547,778.3046875,0.0,778.3046875,352.0628602509969,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task2-codeact-x1000-r03,qwen3.5,Qwen 3.5,codeact,2,tier2/task2,1000,3,6,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,18,0.0,0.0,1901690,7231,1908921,337.2045383619843,1.2204026430263184,776.9453125,0.0,776.9453125,341.2496423490229,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task2-codeact-x1000-r04,qwen3.5,Qwen 3.5,codeact,2,tier2/task2,1000,4,6,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,18,0.0,0.0,1902661,7708,1910369,352.1646453959984,1.2299322559847496,776.9375,0.0,776.9375,356.1941886229906,rxnhaystack-human-1.6.0,1.0,not_affected,True
codeact_x1000,full-qwen3.5-397b-tier2-task2-codeact-x1000-r05,qwen3.5,Qwen 3.5,codeact,2,tier2/task2,1000,5,6,succeeded,external-succeeded-result-pack,2026-09-23T06:32:47.516977+00:00,1,qwen-codeact-x1000-succeeded-pack.tgz,{},macro_f1,True,1.0,20,0.0,0.0,2118964,9358,2128322,361.67199822497787,1.2324672750546597,777.69140625,0.0,777.69140625,365.9036085479893,rxnhaystack-human-1.6.0,1.0,not_affected,True
