model,method,context,tier,successful_jobs,successful_trajectories,failed_jobs,calls_per_trajectory,calls_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,latency_seconds_per_trajectory,latency_seconds_per_trajectory_coverage,tool_time_seconds_per_trajectory,tool_time_seconds_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage,peak_memory_mib_per_job,peak_memory_mib_per_job_coverage
qwen3.5,llm,100,1,5,50,0,1.0,1.0,10578.32,1.0,4.121056330092252,1.0,0.0,1.0,4.422874210849404,1.0,384.4765625,1.0
qwen3.5,llm,500,1,5,50,0,1.0,1.0,52441.12,1.0,17.08568895548582,1.0,0.0,1.0,17.366685228794815,1.0,385.9078125,1.0
qwen3.5,codeact,100,1,5,50,0,2.62,1.0,29784.08,1.0,12.490466451756657,1.0,0.002799572683870792,1.0,12.769313414320349,1.0,799.46875,1.0
qwen3.5,codeact,500,1,5,50,0,2.66,1.0,141749.4,1.0,31.991029159426688,1.0,0.002730355337262154,1.0,32.27738832902163,1.0,801.86015625,1.0
qwen3.5,rlm,100,1,5,50,0,5.96,1.0,48837.92,1.0,29.25746904633939,1.0,0.9901483626291155,1.0,29.56584067348391,1.0,449.58984375,1.0
qwen3.5,rlm,500,1,5,50,0,6.1,1.0,41236.9,1.0,30.193472277224064,1.0,2.381911619156599,1.0,30.5098822376132,1.0,450.33984375,1.0
qwen3.5,rlm,full,1,5,50,0,5.78,1.0,36004.5,1.0,30.348347228670608,1.0,1.3701190429070267,1.0,30.645977798373206,1.0,612.421875,1.0
qwen3.5,llm,100,2,20,100,0,1.0,1.0,11940.02,1.0,19.19894680103287,1.0,0.0,1.0,20.095826420579105,1.0,383.7091796875,1.0
qwen3.5,llm,500,2,20,100,0,1.0,1.0,53211.35,1.0,8.915071253553032,1.0,0.0,1.0,9.814068287629635,1.0,385.359765625,1.0
qwen3.5,codeact,100,2,20,100,0,3.47,1.0,44341.15,1.0,29.315880273468792,1.0,0.042640648558735846,1.0,30.237883248422296,1.0,812.5681640625,1.0
qwen3.5,codeact,500,2,20,100,0,3.31,1.0,182579.5,1.0,44.54416280597448,1.0,0.143585114069283,1.0,45.477825505658984,1.0,815.1943359375,1.0
qwen3.5,rlm,100,2,20,100,0,5.71,1.0,49857.2,1.0,37.723540646824986,1.0,0.03195950843393803,1.0,38.69947664339095,1.0,457.094921875,1.0
qwen3.5,rlm,500,2,20,100,0,5.43,1.0,36807.64,1.0,35.77670487744734,1.0,0.10450560493394732,1.0,36.75866788178682,1.0,457.56875,1.0
qwen3.5,rlm,full,2,20,100,0,6.78,1.0,67568.05,1.0,64.02940200056881,1.0,19.672216847557575,1.0,65.04739979799837,1.0,743.8974609375,1.0
qwen3.5,llm,100,3,80,175,0,1.0,1.0,10852.445714285714,1.0,3.9775759169778655,1.0,0.0,1.0,5.961710750279682,1.0,364.87265625,1.0
qwen3.5,llm,500,3,80,175,0,1.0,1.0,53127.577142857146,1.0,13.24937102744622,1.0,0.0,1.0,15.22404720492661,1.0,365.7306640625,1.0
qwen3.5,codeact,100,3,80,175,0,6.228571428571429,1.0,104616.80571428571,1.0,64.5298523937485,1.0,0.07362531139382295,1.0,66.67889045932463,1.0,690.052734375,1.0
qwen3.5,codeact,500,3,80,175,0,6.417142857142857,1.0,383074.4857142857,1.0,86.50448715318527,1.0,0.28453085995146205,1.0,88.61984232052096,1.0,692.6013671875,1.0
qwen3.5,rlm,100,3,80,175,0,12.245714285714286,1.0,307442.90285714285,1.0,211.63604843655685,1.0,0.106938544738306,1.0,213.84667090966184,1.0,427.709423828125,1.0
qwen3.5,rlm,500,3,80,175,0,14.8,1.0,332765.76,1.0,231.61536498151054,1.0,3.841476196942219,1.0,233.79386810777393,1.0,427.734521484375,1.0
qwen3.5,rlm,full,3,80,175,0,16.325714285714287,1.0,408736.9485714286,1.0,290.2334939264613,1.0,49.636105022153686,1.0,292.44712719986484,1.0,606.610009765625,1.0
qwen3.5,llm,100,4,45,175,0,1.0,1.0,10854.994285714285,1.0,4.393769419725452,1.0,0.0,1.0,6.429877321730767,1.0,394.88958333333335,1.0
qwen3.5,llm,500,4,45,175,0,1.0,1.0,52563.34285714286,1.0,10.419684777632355,1.0,0.0,1.0,12.481650625201208,1.0,395.8681423611111,1.0
qwen3.5,codeact,100,4,45,175,0,6.914285714285715,1.0,115095.68,1.0,65.15755305700004,1.0,0.06752119295299053,1.0,67.230369180856,1.0,806.1910590277778,1.0
qwen3.5,codeact,500,4,45,175,0,7.571428571428571,1.0,451120.0457142857,1.0,95.66780672520399,1.0,0.35714616635016033,1.0,97.7317967782276,1.0,812.8332465277778,1.0
qwen3.5,rlm,100,4,45,175,0,15.862857142857143,1.0,441711.6914285714,1.0,232.0619554443104,1.0,4.284942947485771,1.0,234.06336600167828,1.0,438.86675347222223,1.0
qwen3.5,rlm,500,4,45,175,0,17.394285714285715,1.0,474862.28,1.0,249.64331587080474,1.0,6.4012017486063995,1.0,251.64449257191808,1.0,441.32890625,1.0
qwen3.5,rlm,full,4,44,165,1,18.084848484848486,1.0,503053.95151515154,1.0,940.4235850961733,1.0,525.7523582420102,1.0,942.4459466345869,1.0,3668.152432528409,1.0
deepseek-v4-flash,llm,100,1,5,50,0,1.0,1.0,9809.42,1.0,15.96988052509725,1.0,0.0,1.0,16.24794794797897,1.0,326.859375,1.0
deepseek-v4-flash,llm,500,1,5,50,0,1.0,1.0,48782.56,1.0,16.889738922566174,1.0,0.0,1.0,17.169287741854788,1.0,333.3265625,1.0
deepseek-v4-flash,codeact,100,1,5,50,0,2.9,1.0,43860.3,1.0,26.37681980729103,1.0,0.0035574714094400404,1.0,26.671531119942664,1.0,754.03046875,1.0
deepseek-v4-flash,codeact,500,1,5,50,0,2.78,1.0,138152.58,1.0,18.866517820358276,1.0,0.001972449943423271,1.0,19.149699962958692,1.0,754.95234375,1.0
deepseek-v4-flash,llm,100,2,20,100,0,1.0,1.0,11337.0,1.0,21.078891081698238,1.0,0.0,1.0,21.894948668293654,1.0,329.432421875,1.0
deepseek-v4-flash,llm,500,2,20,100,0,1.0,1.0,50967.85,1.0,25.114205974265932,1.0,0.0,1.0,25.91789203386754,1.0,335.152734375,1.0
deepseek-v4-flash,codeact,100,2,20,100,0,3.72,1.0,57338.05,1.0,43.91746928745881,1.0,0.047442025039345026,1.0,44.81962357375771,1.0,762.977734375,1.0
deepseek-v4-flash,codeact,500,2,20,100,0,3.67,1.0,218040.39,1.0,57.0256256358698,1.0,0.16867612410336733,1.0,57.89165844351053,1.0,765.7244140625,1.0
deepseek-v4-flash,llm,100,3,80,175,0,1.0,1.0,10101.457142857143,1.0,12.941482248625585,1.0,0.0,1.0,14.78950047160898,1.0,321.876513671875,1.0
deepseek-v4-flash,llm,500,3,80,175,0,1.0,1.0,49607.33142857143,1.0,20.14749507561326,1.0,0.0,1.0,21.955387083292006,1.0,322.367041015625,1.0
deepseek-v4-flash,codeact,100,3,78,166,2,5.710843373493976,1.0,168431.3674698795,1.0,232.87330669373364,1.0,0.246206563527146,1.0,236.1903970500746,1.0,638.1179387019231,1.0
deepseek-v4-flash,codeact,500,3,72,138,8,5.695652173913044,1.0,426380.652173913,1.0,292.33369226093686,1.0,0.8120668983302902,1.0,300.0594622348503,1.0,632.8352864583334,1.0
deepseek-v4-flash,llm,100,4,45,175,0,1.0,1.0,11329.685714285713,1.0,23.019285406512875,1.0,0.0,1.0,25.033182214477232,1.0,338.76293402777776,1.0
deepseek-v4-flash,llm,500,4,45,175,0,1.0,1.0,49983.77142857143,1.0,23.601156365062508,1.0,0.0,1.0,25.609391767999956,1.0,339.16006944444445,1.0
deepseek-v4-flash,codeact,100,4,36,106,9,4.867924528301887,1.0,229352.68867924527,1.0,229.19217068629936,1.0,0.5015970200019063,1.0,230.81703687139418,1.0,750.7420789930555,1.0
deepseek-v4-flash,codeact,500,4,33,93,12,5.462365591397849,1.0,414539.688172043,1.0,217.65454179184732,1.0,1.4742311185566328,1.0,219.26771337038247,1.0,751.5163352272727,1.0
glm-5.2,llm,100,1,5,50,0,1.0,1.0,10299.12,1.0,4.04615724824369,1.0,0.0,1.0,4.295932805463671,1.0,324.82109375,1.0
glm-5.2,llm,500,1,5,50,0,1.0,1.0,51136.86,1.0,4.10124434709549,1.0,0.0,1.0,4.352611987367272,1.0,327.2109375,1.0
glm-5.2,llm,100,2,20,100,0,1.0,1.0,10766.04,1.0,7.893903676755726,1.0,0.0,1.0,8.658951087370514,1.0,327.6439453125,1.0
glm-5.2,llm,500,2,20,100,0,1.0,1.0,53939.86,1.0,55.52975487798452,1.0,0.0,1.0,56.29371414441616,1.0,331.623828125,1.0
glm-5.2,llm,100,3,80,175,0,1.0,1.0,10564.988571428572,1.0,3.938556256719998,1.0,0.0,1.0,5.843350813644273,1.0,321.617578125,1.0
glm-5.2,llm,500,3,80,175,0,1.0,1.0,52313.09142857143,1.0,27.15017243538584,1.0,0.0,1.0,29.002552928818123,1.0,322.752880859375,1.0
glm-5.2,llm,100,4,45,175,0,1.0,1.0,11187.68,1.0,20.015879171980277,1.0,0.0,1.0,22.10288321561047,1.0,338.63237847222223,1.0
glm-5.2,llm,500,4,45,175,0,1.0,1.0,52723.35428571429,1.0,37.25227711841464,1.0,0.0,1.0,39.33336748031633,1.0,339.63255208333334,1.0
gemini-3.7-flash,llm,100,1,5,50,0,1.0,1.0,12242.28,1.0,3.0492562234029172,1.0,0.0,1.0,3.330395953916013,1.0,384.38046875,1.0
gemini-3.7-flash,llm,500,1,5,50,0,1.0,1.0,55671.16,1.0,1.8859089608490467,1.0,0.0,1.0,2.184861172363162,1.0,388.115625,1.0
gemini-3.7-flash,codeact,100,1,5,50,0,7.3,1.0,16817.1,1.0,27.27100499033928,1.0,0.007240003012120724,1.0,27.56982455510646,1.0,802.76796875,1.0
gemini-3.7-flash,codeact,500,1,5,50,0,5.64,1.0,89610.16,1.0,24.83547393485904,1.0,0.04519009433686733,1.0,25.129000028297305,1.0,806.19375,1.0
gemini-3.7-flash,rlm,100,1,5,50,0,3.02,1.0,11999.86,1.0,12.471793218571692,1.0,0.020930081140249968,1.0,16.179346478795633,1.0,343.75,1.0
gemini-3.7-flash,rlm,500,1,5,50,0,2.96,1.0,11897.98,1.0,12.041589671811089,1.0,0.11743226635269821,1.0,15.056447562826797,1.0,339.7796875,1.0
