model,tier,task,task_label,method,context,repetitions,successful_jobs,failed_jobs,scoreable_jobs,score_coverage,f1_mean,f1_std
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,100,5,5,0,5,1.0,0.8966666666666667,0.0
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,500,5,5,0,5,1.0,0.6698888888888889,0.040353989201124194
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,100,5,5,0,5,1.0,0.9513333333333334,0.04074855143982964
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,500,5,5,0,5,1.0,0.9493333333333334,0.02831568077546038
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,100,5,5,0,5,1.0,0.64,0.13564659966250536
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,500,5,5,0,5,1.0,0.6733333333333333,0.18306040290327974
claude-haiku-4.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,full,5,5,0,5,1.0,0.6599999999999999,0.13564659966250536
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,100,5,5,0,5,1.0,0.05106834324542166,0.012394659533076518
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,500,5,5,0,5,1.0,0.036159288193657255,0.012389729893153095
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,100,5,5,0,5,1.0,0.17245515057571795,0.03349399461572673
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,500,5,5,0,5,1.0,0.8500405345933801,0.09600784689702552
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,100,5,5,0,5,1.0,0.8333333333333334,0.14907119849998599
claude-haiku-4.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,500,5,5,0,5,1.0,0.8701550387596899,0.12398254867302175
