model,method,context,tier,jobs,successful_jobs,failed_jobs,question_trajectories,scoreable_trajectories,repetitions,score_coverage,f1_mean,f1_std,calls_mean,calls_std,cost_usd_mean,cost_usd_std,total_tokens_mean,total_tokens_std,latency_seconds_mean,latency_seconds_std,tool_time_seconds_mean,tool_time_seconds_std,process_wall_time_seconds_mean,process_wall_time_seconds_std,peak_combined_memory_mib_mean,peak_combined_memory_mib_std
claude-haiku-4.5,llm,100,1,5,5,0,50,50,5,1.0,0.8966666666666667,0.0,1.0,0.0,0.0130605,4.178516483155279e-06,12960.34,0.8357032966311969,0.6583616821095347,0.07539838280759022,0.0,0.0,2.1807461700215933,0.6914512272472457,308.2625,3.7689279795764703
claude-haiku-4.5,llm,500,1,5,5,0,50,50,5,1.0,0.6698888888888889,0.040353989201124194,1.0,0.0,0.0650342,0.00011228196649506846,64345.719999999994,22.456393299013445,1.181814609207213,0.12438012321894898,0.0,0.0,1.976176786273718,0.34492363665332676,308.43203125,3.0630127520368937
claude-haiku-4.5,codeact,100,1,5,5,0,50,50,5,1.0,0.9513333333333334,0.04074855143982964,1.6,0.1264911064067352,0.010858625,0.006777644152903721,22606.52,1708.7380026206474,7.232605446986854,1.2975154482142939,0.0008983767032623291,0.0001701604095901974,8.227198069989681,1.9288158546880212,679.80703125,2.6274665216260367
claude-haiku-4.5,codeact,500,1,5,5,0,50,50,5,1.0,0.9493333333333334,0.02831568077546038,2.2,0.1673320053068151,0.035582945,0.027898208496435217,144096.52,10570.102219070537,7.731167224161327,2.254039454897996,0.0017231354117393494,0.0002520120800697376,8.339193197637796,2.270928757165524,679.99921875,3.247183086622446
claude-haiku-4.5,rlm,100,1,5,5,0,50,50,5,1.0,0.64,0.13564659966250536,2.24,1.0892199043352082,0.03851313999999999,0.03334150261098619,30791.140000000003,32366.981719128526,14.116703449850903,3.637334896840927,0.00139643725939095,0.00029544027850589343,15.36654944977723,3.798632641053799,365.95859375,5.057093225809788
claude-haiku-4.5,rlm,500,1,5,5,0,50,50,5,1.0,0.6733333333333333,0.18306040290327974,3.28,2.094182418033348,0.053795100000000005,0.04176620757962112,42689.9,38799.61698388271,19.8243238240201,7.748095734413021,0.0023006043024361134,0.0006695234678439918,20.441153387967496,7.740661909759468,365.928125,2.4829086179475324
claude-haiku-4.5,rlm,full,1,5,5,0,50,50,5,1.0,0.6599999999999999,0.13564659966250536,2.8,1.3885243966167826,0.042530040000000005,0.025751361129897586,31910.04,24186.27742324974,19.030935282483696,4.897995145646429,0.19631702102720738,0.06765845822307438,19.43413586458191,4.899548549357631,577.1453125,42.41249582665578
claude-haiku-4.5,llm,100,2,20,20,0,100,100,5,1.0,0.07674091980622291,0.00912890355267363,1.0,0.0,0.043473500000000005,0.0048014974278864295,19202.9,960.2994855772856,22.63611731056124,4.49923313277872,0.0,0.0,24.375630912650376,4.736329690919067,306.622265625,1.1968000981172735
claude-haiku-4.5,llm,500,2,20,20,0,100,100,5,1.0,0.03041845423329311,0.010628859994347687,1.0,0.0,0.07851895,0.0033837363409402943,67586.75,676.7472681880586,15.017162936720997,4.816842890835095,0.0,0.0,16.807768313344567,4.9194701431140695,309.5865234375,1.952895650596606
claude-haiku-4.5,codeact,100,2,20,20,0,100,100,5,1.0,0.1509091064677977,0.01858566801740967,1.15,0.07071067811865472,0.0273536915,0.00987299663815812,21277.73,3415.569283823709,12.644950475990772,2.801495495537718,0.00430268507450819,0.002200489906276722,13.941822230294346,2.7221204525886056,682.9232421875,0.9499576358384069
claude-haiku-4.5,codeact,500,2,20,20,0,100,100,5,1.0,0.6188824588059256,0.06408377931895806,1.9300000000000002,0.1600000000000001,0.081314062,0.0565944131990677,145659.95,21125.137378014842,25.810060311295093,5.548854009184154,0.12568093102425337,0.024958044888814368,27.21411228911951,5.612856508628788,691.959765625,2.860807959865104
claude-haiku-4.5,rlm,100,2,20,20,0,100,100,5,1.0,0.67,0.07483314773547885,3.08,0.5784461945591828,0.06299189899999999,0.0163009148223732,39517.94,11815.21150887279,25.975886576483028,4.637969061665283,0.8855392297264189,1.5651653056479156,27.305368899819438,4.600683755425865,371.2912109375,0.43232253121494113
claude-haiku-4.5,rlm,500,2,20,20,0,100,100,5,1.0,0.6943798449612404,0.06477740356404578,2.87,1.1681609478149833,0.05782952500000001,0.041025812361331584,33447.1,27995.83227071487,29.131148510570636,10.111348103664207,1.9444606387056411,2.836104614022592,30.314388938480988,10.212715238535289,372.791796875,1.7328832751199459
claude-haiku-4.5,rlm,full,2,20,20,0,100,100,5,1.0,0.6896101146448576,0.08088661684864541,4.05,1.5208550226763893,0.149024475,0.08080989620735271,99441.88,60072.36831907495,68.52735517181456,18.847174931500437,20.46838083425071,4.7516552821248546,69.85304549863562,18.948786688164073,641.919921875,23.68004952773508
claude-haiku-4.5,llm,100,3,80,80,0,175,175,5,1.0,0.16332755568416332,0.019583180313926835,1.0,0.0,0.02674334285714286,0.0007001279300009007,15872.82857142857,140.02558600018043,14.669698660980378,1.3274865812468366,0.0,0.0,17.327041244560057,1.4149488435490212,300.808447265625,0.3062535889084393
claude-haiku-4.5,llm,500,3,80,80,0,175,175,5,1.0,0.23703342648237288,0.011439009540534287,1.0,0.0,0.07227005714285714,0.0010867730724582866,65986.35428571429,217.354614491654,8.552695985106485,0.9701371349851815,0.0,0.0,11.036698273931231,0.9640074814720747,301.72509765625,0.8608203593627679
claude-haiku-4.5,codeact,100,3,80,80,0,175,175,5,1.0,0.5717088821062708,0.03691564793596911,1.834285714285714,0.2736898289103554,0.05371372457142857,0.011669888592495889,42352.53142857143,9794.025814164594,29.25553575571094,4.003852660798449,0.0605376562582595,0.022128501502346548,31.80550711069788,4.186564844296569,576.12568359375,1.1980167431146953
claude-haiku-4.5,codeact,500,3,80,80,0,175,175,5,1.0,0.6025008176034878,0.049488341129475956,2.6228571428571428,0.17925013875837856,0.11036599885714286,0.037545539332345806,204768.5314285714,13809.153080068574,46.244147819897954,8.33239873984894,0.35954570648925643,0.0794988733570076,48.7585916194639,8.236965891615732,581.85595703125,0.7796441626115015
claude-haiku-4.5,rlm,100,3,80,80,0,175,175,5,1.0,0.42907692988510393,0.04572588952903188,3.005714285714286,0.8047613412226822,0.09265465285714285,0.04058930736423292,53372.54857142856,27886.310714215375,45.02647442816091,12.25753664594762,2.158938450863851,1.5923074982443666,48.43028759272769,12.980820707161755,339.794775390625,1.1197628465832379
claude-haiku-4.5,rlm,500,3,80,80,0,175,175,5,1.0,0.399407646982849,0.06317539993658852,6.868571428571428,5.141796716069953,0.14814464285714285,0.04467355593457925,88498.55428571429,34841.99111755743,59.78918264029015,9.980654452788208,3.5363454376294143,4.88289685532642,62.78609533031338,9.706734445481626,341.96005859375,1.8580508644668434
claude-haiku-4.5,rlm,full,3,80,80,0,175,175,5,1.0,0.3300275744052401,0.060735708767031486,4.514285714285714,0.8199552003690475,0.17532153371428572,0.057157586840915625,109675.26857142856,40593.729247000796,98.80606356248259,10.828680298281716,33.68019648268021,5.291925366161769,102.75274716079234,11.9217111950108,510.169091796875,11.266958009792098
