model,tier,task,task_label,method,context,repetitions,successful_jobs,failed_jobs,f1_mean,f1_std
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,100,5,5,0,0.9199999999999999,0.02666666666666657
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,500,5,5,0,0.5350658682634731,0.024000000000000066
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,100,5,5,0,1.0,0.0
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,500,5,5,0,1.0,0.0
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,1000,5,5,0,1.0,0.0
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,100,5,5,0,0.9533333333333334,0.045215533220835116
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,500,5,5,0,0.9133333333333333,0.06863753427324668
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,1000,5,5,0,0.76,0.048989794855663606
deepseek-v4-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,full,5,5,0,0.8400000000000001,0.10198039027185571
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,100,5,5,0,0.07035802203641452,0.004075100169004944
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,500,5,5,0,0.017606971349382695,0.01081896164952431
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,100,5,5,0,0.8787468671679198,0.06262643883587474
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,500,5,5,0,0.8411630097078835,0.09589214202374434
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,1000,5,4,1,0.6857142857142857,0.3516723892883192
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,100,5,5,0,0.8333333333333334,0.18257418583505536
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,500,5,5,0,0.8000655909746819,0.1246518424961202
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,1000,5,5,0,0.5657407407407408,0.20108587250404567
deepseek-v4-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,full,5,5,0,0.8666666666666666,0.12472191289246472
deepseek-v4-flash,2,tier2/task3,T2.2 Ring-count change (5Q),llm,100,5,5,0,0.10059805241019688,0.03744267709762215
deepseek-v4-flash,2,tier2/task3,T2.2 Ring-count change (5Q),llm,500,5,5,0,0.16191125560778824,0.023958859102488256
deepseek-v4-flash,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,100,5,5,0,0.9199999999999999,0.0979795897113271
deepseek-v4-flash,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,500,5,5,0,0.9168599033816426,0.07733579824514954
