model,tier,task,task_label,method,context,repetitions,successful_jobs,failed_jobs,scoreable_jobs,score_coverage,f1_mean,f1_std
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,1000,5,4,1,5,1.0,0.78,0.3919183588453085
gemini-3.7-flash,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,100,5,5,0,5,1.0,0.983197961458831,0.010224012281774554
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,500,5,5,0,5,1.0,0.7220500514876077,0.026428380135528853
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,100,5,5,0,5,1.0,0.8845022127630824,0.08384540259403998
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,500,5,5,0,5,1.0,0.7925350194915413,0.0818033669388671
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,1000,5,5,0,5,1.0,0.594145708895636,0.109656119048931
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),llm,100,5,5,0,5,1.0,0.9413501292922872,0.02982890383869695
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),llm,500,5,5,0,5,1.0,0.4466621036190448,0.06511038753641644
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,100,5,5,0,5,1.0,0.6259322638146168,0.12931362955118403
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,500,5,5,0,5,1.0,0.6231352557015228,0.19925235843378106
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,1000,5,5,0,5,1.0,0.6426187863190724,0.12191831814884939
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,100,5,5,0,5,1.0,0.9969230769230769,0.006153846153846132
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,500,5,5,0,5,1.0,0.8272846788469888,0.09388659806177636
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,100,5,5,0,5,1.0,0.9199999999999999,0.0979795897113271
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,500,5,5,0,5,1.0,0.9,0.1264911064067352
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,1000,5,5,0,5,1.0,0.96,0.07999999999999999
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,100,5,5,0,5,1.0,0.9025757575757576,0.062253370139004616
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,500,5,5,0,5,1.0,0.500748830205352,0.05282447061231306
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,100,5,5,0,5,1.0,0.6233333333333333,0.1803083778173136
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,500,5,5,0,5,1.0,0.6813772175536881,0.069022362677994
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,1000,5,5,0,5,1.0,0.8558823529411764,0.19738778512426491
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,1000,5,4,1,5,1.0,0.8,0.4
gemini-3.7-flash,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,100,5,5,0,5,1.0,0.9846153846153847,0.030769230769230792
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,500,5,5,0,5,1.0,0.8131291838769407,0.0894589771667311
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,100,5,5,0,5,1.0,0.4,0.4898979485566356
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,500,5,5,0,5,1.0,0.96,0.08000000000000003
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,1000,5,5,0,5,1.0,0.672340425531915,0.41728172500872385
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),llm,100,5,5,0,5,1.0,0.8071860717022007,0.04073807047108982
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),llm,500,5,5,0,5,1.0,0.5322205208965322,0.2522361943600473
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,100,5,5,0,5,1.0,0.6,0.4898979485566356
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,500,5,5,0,5,1.0,0.20851063829787236,0.3960877030883437
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,1000,5,5,0,5,1.0,0.2148374739129192,0.2643866487954179
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),llm,100,5,5,0,5,1.0,0.7633986928104576,0.02875816993464051
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),llm,500,5,5,0,5,1.0,0.5996862805597948,0.018270926023566725
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,100,5,5,0,5,1.0,0.7305555555555555,0.3747015273092722
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,1000,5,5,0,5,1.0,0.7226588194564653,0.3400007529513919
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),llm,100,5,5,0,5,1.0,0.8,0.0
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),llm,500,5,5,0,5,1.0,0.7468981413566131,0.054601019593597734
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,100,5,5,0,5,1.0,0.6254545454545455,0.3139932093806968
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,500,5,5,0,5,1.0,0.6533333333333333,0.02666666666666666
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,1000,5,5,0,5,1.0,0.74175098818921,0.04675130687362817
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,100,5,5,0,5,1.0,0.6153846153846153,0.0
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,500,5,5,0,5,1.0,0.5333333333333333,0.26666666666666666
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,1000,5,5,0,5,1.0,0.6880000000000001,0.0
gemini-3.7-flash,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,full,5,5,0,5,1.0,0.6762802025251554,0.0
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),llm,100,5,5,0,5,1.0,0.8865413105413105,0.05075448032033307
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),llm,500,5,5,0,5,1.0,0.6008540694566966,0.05562870916989948
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),codeact,100,5,5,0,5,1.0,0.9606153846153846,0.05012268970903935
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),codeact,500,5,5,0,5,1.0,0.7634450875758185,0.06480173755103828
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),codeact,1000,5,5,0,5,1.0,0.5489877286355781,0.31092576152353707
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),rlm,100,5,5,0,5,1.0,0.6389816404015187,0.06268628740456736
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),rlm,500,5,5,0,5,1.0,0.6117287395151946,0.09071498513585713
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),rlm,1000,5,3,2,5,1.0,0.3688083076043548,0.3034151896331144
gemini-3.7-flash,3,tier3/task18,T3.5 New ring system (1Q),rlm,full,5,5,0,5,1.0,0.5926740800947726,0.08741348498828269
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),llm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),llm,500,5,5,0,5,1.0,0.8192821067821068,0.049215274587987023
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,100,5,5,0,5,1.0,0.8,0.4
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,500,5,5,0,5,1.0,0.902084437378555,0.13137027707471402
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,1000,5,5,0,5,1.0,0.3442622950819672,0.4307453088502293
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,500,5,5,0,5,1.0,0.8,0.4
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),llm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),llm,500,5,5,0,5,1.0,0.9851528640304874,0.008347896636766527
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task21,T3.7 Transition-metal reagent (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),llm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),llm,500,5,5,0,5,1.0,0.9948717948717949,0.010256410256410265
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),codeact,100,5,5,0,5,1.0,0.8,0.4
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),codeact,500,5,5,0,5,1.0,0.9948717948717949,0.010256410256410265
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task22,T3.8 HATU / T3P reagent (1Q),rlm,full,5,5,0,5,1.0,0.9984820472900651,0.0018591047965076108
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),llm,100,5,5,0,5,1.0,0.75,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),llm,500,5,5,0,5,1.0,0.8,0.1
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),codeact,500,5,5,0,5,1.0,0.55,0.458257569495584
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),rlm,1000,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task23,T3.9 New stereocenter (1Q),rlm,full,5,5,0,5,1.0,0.995956862136857,0.00739922660227359
gemini-3.7-flash,3,tier3/task24,T3.10 E-alkene formation (1Q),llm,100,5,5,0,5,1.0,1.0,0.0
gemini-3.7-flash,3,tier3/task24,T3.10 E-alkene formation (1Q),llm,500,5,5,0,5,1.0,0.9636363636363636,0.04453617714151235
gemini-3.7-flash,3,tier3/task24,T3.10 E-alkene formation (1Q),codeact,100,5,5,0,5,1.0,0.8,0.4
gemini-3.7-flash,3,tier3/task24,T3.10 E-alkene formation (1Q),codeact,500,5,5,0,5,1.0,0.9777777777777779,0.04444444444444442
gemini-3.7-flash,3,tier3/task24,T3.10 E-alkene formation (1Q),codeact,1000,5,5,0,5,1.0,0.7714285714285715,0.3896623341995959
