model,tier,task,task_label,method,context,repetitions,successful_jobs,failed_jobs,scoreable_jobs,score_coverage,f1_mean,f1_std
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,100,5,5,0,5,1.0,0.9666666666666668,0.0
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,500,5,5,0,5,1.0,0.6826666666666668,0.06255308856394613
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,100,5,5,0,5,1.0,0.9893333333333333,0.021333333333333336
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,1000,5,5,0,5,1.0,0.9633333333333333,0.03711842908553347
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,100,5,5,0,5,1.0,0.04648692810457516,0.06630061783518962
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,500,5,5,0,5,1.0,0.0031746031746031746,0.006349206349206349
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,100,5,5,0,5,1.0,0.9666666666666666,0.06666666666666665
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,500,5,5,0,5,1.0,0.9666666666666666,0.06666666666666665
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),llm,100,5,5,0,5,1.0,0.04323941166046429,0.061307257274683565
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),llm,500,5,5,0,5,1.0,0.0010526315789473684,0.002105263157894737
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,1000,5,5,0,5,1.0,0.9982608695652173,0.0014199940537873777
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,500,5,5,0,5,1.0,0.975686274509804,0.04862745098039212
gpt-5-mini,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,100,5,5,0,5,1.0,0.008888888888888887,0.017777777777777774
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,500,5,5,0,5,1.0,0.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,100,5,5,0,5,1.0,0.025,0.05
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,500,5,5,0,5,1.0,0.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,100,5,5,0,5,1.0,0.7198135198135198,0.11501695562849387
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,500,5,5,0,5,1.0,0.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,1000,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,100,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,500,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,full,5,5,0,5,1.0,1.0,0.0
gpt-5-mini,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),llm,100,5,5,0,5,1.0,0.2824769433465086,0.025839579809499354
