model,tier,task,task_label,method,context,repetitions,successful_jobs,failed_jobs,f1_mean,f1_std
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,100,5,5,0,0.9866666666666667,0.016329931618554464
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),llm,500,5,5,0,0.968095238095238,0.017142857142857158
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,1,tier1/task1,T1.1 Exact product lookup (10Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,100,5,5,0,0.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),llm,500,5,5,0,0.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,2,tier2/task2,T2.1 Molecular-weight change (6Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),llm,100,5,5,0,0.015017921146953406,0.01940270200267377
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),llm,500,5,5,0,0.023713798977853494,0.02904335367933717
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,500,5,5,0,0.938,0.07593418202627854
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),codeact,1000,5,5,0,0.9957142857142858,0.0034992710611188135
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,100,5,5,0,0.96,0.07999999999999999
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,500,5,5,0,0.96,0.07999999999999999
qwen3.5,2,tier2/task3,T2.2 Ring-count change (5Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,100,5,5,0,0.020681803518697736,0.0015632086120308706
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),llm,500,5,5,0,0.02276193693531809,6.338211184040213e-05
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,2,tier2/task4,T2.3 Aromatic-ring formation (5Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,100,5,5,0,0.0,0.0
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),llm,500,5,5,0,0.0,0.0
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,100,5,5,0,0.95,0.1
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,500,5,5,0,0.95,0.1
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,500,5,5,0,0.95,0.1
qwen3.5,2,tier2/task5,T2.4 Combined weight + rings (4Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,100,5,5,0,0.16960386137322261,0.023336687798871436
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),llm,500,5,5,0,0.14468799853746667,0.0015250750827708378
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task13,T3.1 New nitrogen atom (1Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),llm,100,5,5,0,0.32897456931911406,0.02051388939524225
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),llm,500,5,5,0,0.3181189215184812,0.001983489064753863
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task14,T3.2 C-N formed / C-O broken (1Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),llm,100,5,5,0,0.17958845076492133,0.008006381885491446
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),llm,500,5,5,0,0.0,0.0
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,100,5,5,0,0.8150000000000001,0.3112876483254676
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),codeact,1000,5,5,0,0.8466019417475728,0.3067961165048544
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,100,5,5,0,0.8400000000000001,0.32
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,500,5,5,0,0.3697436281859071,0.26655718233497816
qwen3.5,3,tier3/task15,T3.3 Single C-C bond formation (1Q),rlm,full,5,5,0,0.5474886921365474,0.4100904305046129
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),llm,100,5,5,0,0.25272727272727274,0.12390345481746051
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),llm,500,5,5,0,0.1746841250652797,0.14345845813013314
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,100,5,5,0,0.9168831168831169,0.10976907329410618
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,500,5,5,0,0.8566666666666667,0.1562049935181331
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),codeact,1000,5,5,0,0.9720930232558139,0.055813953488372106
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,100,5,5,0,0.923076923076923,0.15384615384615388
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task17,T3.4 Fused heterocycle (1Q),rlm,full,5,5,0,0.7088308564493795,0.26923900729938444
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),llm,100,5,5,0,0.6906491569611894,0.03260551895872401
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),llm,500,5,5,0,0.5505433665631985,0.0015694504851369207
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),codeact,100,5,5,0,0.6066724413417331,0.06598248182078795
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),codeact,500,5,5,0,0.71004584296393,0.15043244451170726
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),codeact,1000,5,5,0,0.6398654638652153,0.05736793964641682
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),rlm,100,5,5,0,0.49165566378320635,0.15434564687162858
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),rlm,500,5,5,0,0.5988374118625998,0.08659271639193705
qwen3.5,3,tier3/task18,T3.5 New ring system (1Q),rlm,full,5,5,0,0.3158646813780834,0.22900953068266783
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),llm,100,5,5,0,0.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),llm,500,5,5,0,0.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,500,5,5,0,0.9945945945945945,0.010810810810810789
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),codeact,1000,5,5,0,1.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,100,5,5,0,1.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,500,5,5,0,1.0,0.0
qwen3.5,3,tier3/task20,T3.6 Fused-ring construction (1Q),rlm,full,5,5,0,1.0,0.0
qwen3.5,3,tier3/task21,T3.7 Transition-metal reagent (1Q),llm,100,5,5,0,0.8,0.0
