model,model_label,condition,repetition,question_count,macro_f1,macro_precision,macro_recall,exact_match_accuracy,calls,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,process_wall_time_seconds,peak_combined_memory_mib,run_id,result_updated_at,sources
anthropic/claude-haiku-4.5,Claude,name_only,1,3,0.0,0.0,0.0,0.0,49,2.6271957499999994,1591314,128186,1719500,1710.4587705768645,524.1224839240313,1749.052697878331,25755.07421875,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r01,2026-09-22T18:37:36.759501+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,name_only,2,3,0.0,0.0,0.0,0.0,52,2.1631345,1297491,108831,1406322,840.0034900717437,0.0,877.4802288673818,649.11328125,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r02,2026-09-22T18:52:14.293881+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,name_only,3,3,0.26143790849673204,0.3333333333333333,0.21505376344086022,0.0,10,0.3098995,141245,27225,168470,2088.6421850658953,1708.8352811224759,2126.667933497578,25988.1171875,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r03,2026-09-22T19:27:41.015691+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,name_only,4,3,0.0,0.0,0.0,0.0,21,0.8035107499999999,428416,54159,482575,4200.573384441435,3355.47359361127,4238.806503802538,27543.6953125,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r04,2026-09-22T20:38:19.877451+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,name_only,5,3,0.0,0.0,0.0,0.0,52,2.5315695000000003,1573063,113625,1686688,2394.5462299212813,1457.7370870225132,2432.772482968867,25509.3359375,prospective-claude-haiku-4.5-task16-name_only-rlm-xfull-r05,2026-09-22T21:18:52.703240+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,structure_only,1,3,0.0,0.0,0.0,0.0,44,1.7818852500000002,1010769,104263,1115032,2568.796052146703,657.2997852861881,2607.77655698359,25600.08203125,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r01,2026-09-22T22:02:20.529126+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,structure_only,2,3,0.0,0.0,0.0,0.0,31,1.23901775,655287,84553,739840,2470.328362494707,1788.976744029671,2508.352323181927,25727.546875,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r02,2026-09-22T22:44:08.944145+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,structure_only,3,3,0.0,0.0,0.0,0.0,45,2.14673775,1442431,69318,1511749,4009.0203993991017,2760.297317020595,4047.380749065429,26082.9921875,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r03,2026-09-22T23:51:36.387782+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,structure_only,4,3,0.0,0.0,0.0,0.0,39,1.3178527499999997,734925,80415,815340,605.7902769111097,0.0,645.3546986244619,675.51171875,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r04,2026-09-23T00:02:21.797896+00:00,liacpc14-prospective-v1-e1cb6c67
anthropic/claude-haiku-4.5,Claude,structure_only,5,3,0.0,0.0,0.0,0.0,55,2.344519,1477734,100054,1577788,1315.3830323331058,512.3831535242498,1353.147390510887,2717.3125,prospective-claude-haiku-4.5-task16-structure_only-rlm-xfull-r05,2026-09-23T00:24:54.999672+00:00,liacpc14-prospective-v1-e1cb6c67
