scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
full_benchmark,full-glm-5.2-tier1-task1-codeact-x100-r01,glm-5.2,GLM 5.2,codeact,1,tier1/task1,100,1,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x100-r02,glm-5.2,GLM 5.2,codeact,1,tier1/task1,100,2,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x100-r03,glm-5.2,GLM 5.2,codeact,1,tier1/task1,100,3,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x100-r04,glm-5.2,GLM 5.2,codeact,1,tier1/task1,100,4,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x100-r05,glm-5.2,GLM 5.2,codeact,1,tier1/task1,100,5,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x500-r01,glm-5.2,GLM 5.2,codeact,1,tier1/task1,500,1,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x500-r02,glm-5.2,GLM 5.2,codeact,1,tier1/task1,500,2,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x500-r03,glm-5.2,GLM 5.2,codeact,1,tier1/task1,500,3,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x500-r04,glm-5.2,GLM 5.2,codeact,1,tier1/task1,500,4,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-codeact-x500-r05,glm-5.2,GLM 5.2,codeact,1,tier1/task1,500,5,10,pending,current,,0,,{},macro_f1,False,,,,,,,,,,,,,,rxnhaystack-human-1.6.0,,not_affected,False
full_benchmark,full-glm-5.2-tier1-task1-llm-x100-r01,glm-5.2,GLM 5.2,llm,1,tier1/task1,100,1,10,succeeded,final,2026-09-13T13:49:16.600579+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.8300000000000001,10,0.0,0,102942,46,102988,40.888852916657925,0,326.89453125,0.0,326.89453125,43.60565275326371,rxnhaystack-human-1.6.0,0.8300000000000001,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x100-r02,glm-5.2,GLM 5.2,llm,1,tier1/task1,100,2,10,succeeded,final,2026-09-13T13:50:00.535307+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.8300000000000001,10,0.0,0,102942,45,102987,41.389287520200014,0,323.5546875,0.0,323.5546875,43.81706165149808,rxnhaystack-human-1.6.0,0.8300000000000001,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x100-r03,glm-5.2,GLM 5.2,llm,1,tier1/task1,100,3,10,succeeded,final,2026-09-13T13:50:43.176814+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.8133333333333332,10,0.0,0,102942,55,102997,39.99576562643051,0,324.24609375,0.0,324.24609375,42.54377016425133,rxnhaystack-human-1.6.0,0.8133333333333332,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x100-r04,glm-5.2,GLM 5.2,llm,1,tier1/task1,100,4,10,succeeded,final,2026-09-13T13:51:25.529255+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.8633333333333333,10,0.0,0,102942,50,102992,39.947415612638,0,324.40234375,0.0,324.40234375,42.26740984246135,rxnhaystack-human-1.6.0,0.8633333333333333,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x100-r05,glm-5.2,GLM 5.2,llm,1,tier1/task1,100,5,10,succeeded,final,2026-09-13T13:52:08.184496+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.85,10,0.0,0,102942,50,102992,40.08654073625803,0,325.0078125,0.0,325.0078125,42.56274586170912,rxnhaystack-human-1.6.0,0.85,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x500-r01,glm-5.2,GLM 5.2,llm,1,tier1/task1,500,1,10,succeeded,final,2026-09-13T13:52:52.986320+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.7733333333333334,10,0.0,0,511323,48,511371,41.98667252063751,0,327.7734375,0.0,327.7734375,44.70459182560444,rxnhaystack-human-1.6.0,0.7733333333333334,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x500-r02,glm-5.2,GLM 5.2,llm,1,tier1/task1,500,2,10,succeeded,final,2026-09-13T13:53:37.243934+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.7500000000000001,10,0.0,0,511323,39,511362,41.850988160818815,0,326.91796875,0.0,326.91796875,44.13785137608647,rxnhaystack-human-1.6.0,0.7500000000000001,not_affected,True
full_benchmark,full-glm-5.2-tier1-task1-llm-x500-r03,glm-5.2,GLM 5.2,llm,1,tier1/task1,500,3,10,succeeded,final,2026-09-13T13:54:20.869062+00:00,1,liacpc14-glm-llm-v28-archive-exact,{},macro_f1,True,0.7733333333333334,10,0.0,0,511323,48,511371,40.93760425597429,0,325.8984375,0.0,325.8984375,43.50972348079085,rxnhaystack-human-1.6.0,0.7733333333333334,not_affected,True
