scope,run_id,model,model_label,method,tier,task,context,repetition,question_count,status,report_state,result_updated_at,attempt_count,sources,failure_categories,score_name,score_available,f1,calls,cost_chf,cost_usd,input_tokens,output_tokens,total_tokens,latency_seconds,tool_time_seconds,peak_combined_memory_mib,peak_docker_memory_mib,peak_host_process_tree_rss_mib,process_wall_time_seconds,ground_truth_version,original_f1,score_correction_status,arm_final
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier1-task1-rlm-x1000-r01,deepseek-v4-flash,DeepSeek V4 Flash,rlm,1,tier1/task1,1000,1,10,succeeded,final,2026-09-23T12:09:22.973778+00:00,1,jed-deepseek-rlm-x1000-s01,{},macro_f1,True,0.7,132,0.04597449001600001,0.05746811252,639900,55593,695493,1343.2765818461776,0.01982356421649456,393.55859375,0.0,393.55859375,1350.5009064618498,rxnhaystack-human-1.6.0,0.7,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier1-task1-rlm-x1000-r02,deepseek-v4-flash,DeepSeek V4 Flash,rlm,1,tier1/task1,1000,2,10,succeeded,final,2026-09-23T12:04:52.180083+00:00,1,jed-deepseek-rlm-x1000-s02,{},macro_f1,True,0.8,96,0.032693924927999996,0.040867406159999994,472388,40890,513278,1071.621807469055,0.05106692761182785,409.94140625,0.0,409.94140625,1079.7206238806248,rxnhaystack-human-1.6.0,0.8,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier1-task1-rlm-x1000-r03,deepseek-v4-flash,DeepSeek V4 Flash,rlm,1,tier1/task1,1000,3,10,succeeded,final,2026-09-23T12:03:15.891629+00:00,1,jed-deepseek-rlm-x1000-s03,{},macro_f1,True,0.8,74,0.024431984032,0.030539980039999998,342594,31204,373798,975.7313961014152,0.46186361089348793,412.17578125,0.0,412.17578125,983.4012440089136,rxnhaystack-human-1.6.0,0.8,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier1-task1-rlm-x1000-r04,deepseek-v4-flash,DeepSeek V4 Flash,rlm,1,tier1/task1,1000,4,10,succeeded,final,2026-09-23T12:06:45.903158+00:00,1,jed-deepseek-rlm-x1000-s04,{},macro_f1,True,0.7,130,0.04182747280000001,0.052284341000000005,643628,47353,690981,1185.7974007409066,0.02181152254343033,398.5,0.0,398.5,1193.4385956842452,rxnhaystack-human-1.6.0,0.7,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier1-task1-rlm-x1000-r05,deepseek-v4-flash,DeepSeek V4 Flash,rlm,1,tier1/task1,1000,5,10,succeeded,final,2026-09-23T12:09:01.953537+00:00,1,jed-deepseek-rlm-x1000-s05,{},macro_f1,True,0.8,102,0.04954403324800001,0.06193004156000001,598785,56911,655696,1322.233343936503,377.4756819624454,398.7734375,0.0,398.7734375,1329.485870886594,rxnhaystack-human-1.6.0,0.8,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier2-task2-rlm-x1000-r01,deepseek-v4-flash,DeepSeek V4 Flash,rlm,2,tier2/task2,1000,1,6,succeeded,final,2026-09-23T12:37:29.747722+00:00,1,jed-deepseek-rlm-x1000-s06,{},macro_f1,True,0.3287037037037037,136,0.13042562780320002,0.16303203475400002,2425036,103437,2528473,2997.4450479336083,4.02953446097672,423.83984375,0.0,423.83984375,3022.1998072490096,rxnhaystack-human-1.6.0,0.3287037037037037,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier2-task2-rlm-x1000-r02,deepseek-v4-flash,DeepSeek V4 Flash,rlm,2,tier2/task2,1000,2,6,succeeded,final,2026-09-23T12:23:54.162928+00:00,1,jed-deepseek-rlm-x1000-s07,{},macro_f1,True,0.3333333333333333,136,0.15151420799999998,0.18939275999999997,4208988,69949,4278937,2198.6185568813235,2.008075689896941,425.95703125,0.0,425.95703125,2206.413651874289,rxnhaystack-human-1.6.0,0.3333333333333333,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier2-task2-rlm-x1000-r03,deepseek-v4-flash,DeepSeek V4 Flash,rlm,2,tier2/task2,1000,3,6,succeeded,final,2026-09-23T12:21:56.082940+00:00,1,jed-deepseek-rlm-x1000-s08,{},macro_f1,True,0.8333333333333334,99,0.09075553564800001,0.11344441956000001,1414650,63146,1477796,2093.1346907075495,5.2147871889173985,423.27734375,0.0,423.27734375,2103.0524935163558,rxnhaystack-human-1.6.0,0.8333333333333334,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier2-task2-rlm-x1000-r04,deepseek-v4-flash,DeepSeek V4 Flash,rlm,2,tier2/task2,1000,4,6,succeeded,final,2026-09-23T12:19:09.806369+00:00,1,jed-deepseek-rlm-x1000-s09,{},macro_f1,True,0.6666666666666666,110,0.07513767072000001,0.0939220884,1069210,90577,1159787,1914.291383171454,4.577147921547294,405.2734375,0.0,405.2734375,1922.1078832410276,rxnhaystack-human-1.6.0,0.6666666666666666,not_affected,True
rlm_x1000,x1000-openrouter-full-deepseek-v4-flash-tier2-task2-rlm-x1000-r05,deepseek-v4-flash,DeepSeek V4 Flash,rlm,2,tier2/task2,1000,5,6,succeeded,final,2026-09-23T12:14:25.620890+00:00,1,jed-deepseek-rlm-x1000-s10,{},macro_f1,True,0.6666666666666666,99,0.04919012288,0.0614876536,539531,52770,592301,1626.7949145864695,1.9747072122991085,417.51953125,0.0,417.51953125,1638.1744774524122,rxnhaystack-human-1.6.0,0.6666666666666666,not_affected,True
