model,model_label,method,context,tier,successful_jobs,failed_jobs,unresolved_jobs,arm_final,cost_chf_per_trajectory,cost_chf_per_trajectory_coverage,tokens_per_trajectory,tokens_per_trajectory_coverage,wall_time_seconds_per_trajectory,wall_time_seconds_per_trajectory_coverage
qwen3.5,Qwen 3.5,llm,100,1,5,0,0,True,0.0,1.0,10578.32,1.0,4.422874210849404,1.0
qwen3.5,Qwen 3.5,llm,500,1,5,0,0,True,0.0,1.0,52441.12,1.0,17.366685228794815,1.0
qwen3.5,Qwen 3.5,codeact,100,1,5,0,0,True,0.0,1.0,29784.08,1.0,12.769313414320349,1.0
qwen3.5,Qwen 3.5,codeact,500,1,5,0,0,True,0.0,1.0,141749.4,1.0,32.27738832902163,1.0
qwen3.5,Qwen 3.5,codeact,1000,1,5,0,0,True,0.0,1.0,278185.3,1.0,51.74925091994228,1.0
qwen3.5,Qwen 3.5,rlm,100,1,5,0,0,True,0.0,1.0,48837.92,1.0,29.56584067348391,1.0
qwen3.5,Qwen 3.5,rlm,500,1,5,0,0,True,0.0,1.0,41236.9,1.0,30.5098822376132,1.0
qwen3.5,Qwen 3.5,rlm,full,1,5,0,0,True,0.0,1.0,36004.5,1.0,30.645977798373206,1.0
qwen3.5,Qwen 3.5,llm,100,2,20,0,0,True,0.0,1.0,11940.02,1.0,20.095826420579105,1.0
qwen3.5,Qwen 3.5,llm,500,2,20,0,0,True,0.0,1.0,53211.35,1.0,9.814068287629635,1.0
qwen3.5,Qwen 3.5,codeact,100,2,20,0,0,True,0.0,1.0,44341.15,1.0,30.237883248422296,1.0
qwen3.5,Qwen 3.5,codeact,500,2,20,0,0,True,0.0,1.0,182579.5,1.0,45.477825505658984,1.0
qwen3.5,Qwen 3.5,codeact,1000,2,20,0,0,True,0.0,1.0,345403.57,1.0,67.17938515958026,1.0
qwen3.5,Qwen 3.5,rlm,100,2,20,0,0,True,0.0,1.0,49857.2,1.0,38.69947664339095,1.0
qwen3.5,Qwen 3.5,rlm,500,2,20,0,0,True,0.0,1.0,36807.64,1.0,36.75866788178682,1.0
qwen3.5,Qwen 3.5,rlm,full,2,20,0,0,True,0.0,1.0,67568.05,1.0,65.04739979799837,1.0
qwen3.5,Qwen 3.5,llm,100,3,80,0,0,True,0.0,1.0,10852.445714285714,1.0,5.961710750279682,1.0
qwen3.5,Qwen 3.5,llm,500,3,80,0,0,True,0.0,1.0,53127.577142857146,1.0,15.22404720492661,1.0
qwen3.5,Qwen 3.5,codeact,100,3,80,0,0,True,0.0,1.0,104616.80571428571,1.0,66.67889045932463,1.0
qwen3.5,Qwen 3.5,codeact,500,3,80,0,0,True,0.0,1.0,383074.4857142857,1.0,88.61984232052096,1.0
qwen3.5,Qwen 3.5,codeact,1000,3,80,0,0,True,0.0,1.0,702308.76,1.0,119.632386949531,1.0
qwen3.5,Qwen 3.5,rlm,100,3,80,0,0,True,0.0,1.0,307442.90285714285,1.0,213.84667090966184,1.0
qwen3.5,Qwen 3.5,rlm,500,3,80,0,0,True,0.0,1.0,332765.76,1.0,233.79386810777393,1.0
qwen3.5,Qwen 3.5,rlm,full,3,80,0,0,True,0.0,1.0,408736.9485714286,1.0,292.44712719986484,1.0
qwen3.5,Qwen 3.5,llm,100,4,45,0,0,True,0.0,1.0,10854.994285714285,1.0,6.429877321730767,1.0
qwen3.5,Qwen 3.5,llm,500,4,45,0,0,True,0.0,1.0,52563.34285714286,1.0,12.481650625201208,1.0
qwen3.5,Qwen 3.5,codeact,100,4,45,0,0,True,0.0,1.0,115095.68,1.0,67.230369180856,1.0
qwen3.5,Qwen 3.5,codeact,500,4,45,0,0,True,0.0,1.0,451120.0457142857,1.0,97.7317967782276,1.0
qwen3.5,Qwen 3.5,codeact,1000,4,45,0,0,True,0.0,1.0,802389.9257142857,1.0,116.28092205079506,1.0
qwen3.5,Qwen 3.5,rlm,100,4,45,0,0,True,0.0,1.0,441711.6914285714,1.0,234.06336600167828,1.0
qwen3.5,Qwen 3.5,rlm,500,4,45,0,0,True,0.0,1.0,474862.28,1.0,251.64449257191808,1.0
qwen3.5,Qwen 3.5,rlm,full,4,44,1,0,True,0.057039439175757586,1.0,503053.95151515154,1.0,942.4459466345869,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,1,5,0,0,True,0.0,1.0,9809.42,1.0,16.24794794797897,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,1,5,0,0,True,0.0,1.0,48782.56,1.0,17.169287741854788,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,1,5,0,0,True,0.0,1.0,43860.3,1.0,26.671531119942664,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,1,5,0,0,True,0.0,1.0,138152.58,1.0,19.149699962958692,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,1,5,0,0,True,0.0057902887184,1.0,278255.4,1.0,14.24118279254064,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,1,5,0,0,True,0.0,1.0,37310.76,1.0,55.936566160321235,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,1,5,0,0,True,0.0,1.0,57780.58,1.0,84.69751314334572,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,1000,1,5,0,0,True,0.0038894381004800005,1.0,58584.92,1.0,118.73094481844456,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,1,5,0,0,True,0.0,1.0,66980.38,1.0,86.01499647140503,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,2,20,0,0,True,0.0,1.0,11337.0,1.0,21.894948668293654,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,2,20,0,0,True,0.0,1.0,50967.85,1.0,25.91789203386754,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,2,20,0,0,True,0.000108037039968,1.0,57338.05,1.0,44.81962357375771,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,2,20,0,0,True,0.0,1.0,218040.39,1.0,57.89165844351053,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,2,14,6,0,True,0.008142397027777777,1.0,393029.52777777775,1.0,69.59939212580987,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,2,20,0,0,True,0.000332297274048,1.0,88857.05,1.0,83.8855762797594,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,2,20,0,0,True,0.0,1.0,72249.3,1.0,82.98105515874923,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,1000,2,20,0,0,True,0.011961219426512,1.0,224744.37,1.0,390.11141828548165,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,2,20,0,0,True,0.0,1.0,112404.59,1.0,117.60753439590334,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,3,80,0,0,True,0.0,1.0,10101.457142857143,1.0,14.78950047160898,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,3,80,0,0,True,0.0,1.0,49607.33142857143,1.0,21.955387083292006,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,3,78,2,0,True,0.001758746560679518,1.0,168431.3674698795,1.0,236.1903970500746,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,3,72,8,0,True,0.0031367619357913043,1.0,426380.652173913,1.0,300.0594622348503,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,3,45,35,0,True,0.017946711735346475,1.0,751548.2816901408,1.0,417.739020419107,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,3,80,0,0,True,0.004259160640521143,1.0,469566.2,1.0,449.4858980003771,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,3,80,0,0,True,0.004987570063954287,1.0,530124.1371428572,1.0,486.98825961789913,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,1000,3,80,0,0,True,0.026606673897901726,1.0,413436.53142857144,1.0,1189.336012556058,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,3,80,0,0,True,0.010938026557037711,1.0,859501.3542857143,1.0,800.3154667840286,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,4,45,0,0,True,0.0,1.0,11329.685714285713,1.0,25.033182214477232,1.0
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,4,45,0,0,True,0.0,1.0,49983.77142857143,1.0,25.609391767999956,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,4,36,9,0,True,0.0006478017261886793,1.0,229352.68867924527,1.0,230.81703687139418,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,4,33,12,0,True,0.001746672461075269,1.0,414539.688172043,1.0,219.26771337038247,1.0
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,4,21,24,0,True,0.014576318367252176,1.0,761756.5434782609,1.0,369.8471497600979,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,4,45,0,0,True,0.01536052355647543,1.0,1336182.4457142858,1.0,656.9049426774574,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,4,45,0,0,True,0.013087229690491432,1.0,1009232.9428571429,1.0,732.1281905299771,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,1000,4,45,0,0,True,0.005868832686473143,1.0,873417.28,1.0,532.0601954779628,1.0
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,4,45,0,0,True,0.023199203608717717,1.0,832728.4285714285,1.0,1217.7847720490397,1.0
glm-5.2,GLM 5.2,llm,100,1,5,0,0,True,0.0,1.0,10299.12,1.0,4.295932805463671,1.0
glm-5.2,GLM 5.2,llm,500,1,5,0,0,True,0.0,1.0,51136.86,1.0,4.352611987367272,1.0
glm-5.2,GLM 5.2,codeact,100,1,0,0,5,False,,0.0,,0.0,,0.0
glm-5.2,GLM 5.2,codeact,500,1,0,0,5,False,,0.0,,0.0,,0.0
glm-5.2,GLM 5.2,rlm,100,1,5,0,0,False,0.0,1.0,83447.68,1.0,128.50543712809682,1.0
