model,model_label,method,context,tier,expected_jobs,succeeded_jobs,running_jobs,stale_jobs,failed_jobs,pending_jobs,expected_trajectories,successful_trajectories,coverage,successful_repetitions,f1,f1_std,f1_zero_imputed,f1_best_case,arm_final
qwen3.5,Qwen 3.5,llm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.9866666666666667,0.016329931618554464,0.9866666666666667,0.9866666666666668,True
qwen3.5,Qwen 3.5,llm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.9680952380952382,0.017142857142857158,0.9680952380952382,0.9680952380952382,True
qwen3.5,Qwen 3.5,codeact,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,codeact,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,rlm,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,rlm,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,rlm,full,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,llm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.008924931166412783,0.004689260065143802,0.008924931166412783,0.008924931166412763,True
qwen3.5,Qwen 3.5,llm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.011618933978292896,0.007271411696772396,0.011618933978292896,0.011618933978292887,True
qwen3.5,Qwen 3.5,codeact,100,2,20,20,0,0,0,0,100,100,1.0,5,0.99,0.020000000000000018,0.99,0.99,True
qwen3.5,Qwen 3.5,codeact,500,2,20,20,0,0,0,0,100,100,1.0,5,0.9745,0.021222040429704207,0.9745,0.9744999999999999,True
qwen3.5,Qwen 3.5,rlm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.99,0.020000000000000018,0.99,0.99,True
qwen3.5,Qwen 3.5,rlm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.98,0.024494897427831803,0.98,0.98,True
qwen3.5,Qwen 3.5,rlm,full,2,20,20,0,0,0,0,100,100,1.0,5,1.0,0.0,1.0,1.0,True
qwen3.5,Qwen 3.5,llm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.4447174529918075,0.01100579422266111,0.4447174529918075,0.4447174529918074,True
qwen3.5,Qwen 3.5,llm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.26627397897678057,0.0060636789002654215,0.26627397897678057,0.2662739789767807,True
qwen3.5,Qwen 3.5,codeact,100,3,80,80,0,0,0,0,175,175,1.0,5,0.8587092243720443,0.01677659535342095,0.8587092243720443,0.8587092243720443,True
qwen3.5,Qwen 3.5,codeact,500,3,80,80,0,0,0,0,175,175,1.0,5,0.816968878136034,0.0346145189245133,0.816968878136034,0.8169688781360342,True
qwen3.5,Qwen 3.5,rlm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.8336522394273119,0.02481223590267154,0.8336522394273119,0.8336522394273119,True
qwen3.5,Qwen 3.5,rlm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.7888226573690318,0.025152173146799163,0.7888226573690318,0.788822657369032,True
qwen3.5,Qwen 3.5,rlm,full,3,80,80,0,0,0,0,175,175,1.0,5,0.6074504680615023,0.03954970808636207,0.6074504680615023,0.6074504680615022,True
qwen3.5,Qwen 3.5,llm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.06793650793650793,0.013997084244475301,0.06793650793650793,0.06793650793650792,True
qwen3.5,Qwen 3.5,llm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.012698412698412698,0.0,0.012698412698412698,0.012698412698412735,True
qwen3.5,Qwen 3.5,codeact,100,4,45,45,0,0,0,0,175,175,1.0,5,0.7352047849442807,0.04662062246031093,0.7352047849442807,0.7352047849442807,True
qwen3.5,Qwen 3.5,codeact,500,4,45,45,0,0,0,0,175,175,1.0,5,0.618140589569161,0.03446298720904215,0.618140589569161,0.6181405895691607,True
qwen3.5,Qwen 3.5,rlm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.7294652648938362,0.04431161756035885,0.7294652648938362,0.7294652648938362,True
qwen3.5,Qwen 3.5,rlm,500,4,45,45,0,0,0,0,175,175,1.0,5,0.6937777777777778,0.04187016368735433,0.6937777777777778,0.6937777777777777,True
qwen3.5,Qwen 3.5,rlm,full,4,45,44,0,0,1,0,175,165,0.9428571428571428,5,0.39617232965253585,0.08141170111039771,0.3735339108152481,0.43067676795810517,True
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.92,0.02666666666666657,0.92,0.92,True
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.5350658682634731,0.024000000000000066,0.5350658682634731,0.535065868263473,True
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,1,5,5,0,0,0,0,50,50,1.0,5,1.0,0.0,1.0,1.0,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,1,5,5,0,0,0,0,50,50,1.0,1,1.0,0.0,1.0,1.0,True
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,1,5,5,0,0,0,0,50,50,1.0,5,0.9533333333333335,0.045215533220835116,0.9533333333333335,0.9533333333333335,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,1,5,5,0,0,0,0,50,50,1.0,5,0.9133333333333334,0.06863753427324668,0.9133333333333334,0.9133333333333334,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,1,5,5,0,0,0,0,50,50,1.0,5,0.84,0.10198039027185571,0.84,0.84,False
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.05953736005518555,0.011573548645013745,0.05953736005518555,0.0595373600551855,True
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.056670926327649335,0.009873111395278812,0.056670926327649335,0.05667092632764934,True
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,2,20,20,0,0,0,0,100,100,1.0,5,0.9136240601503759,0.041417295792353634,0.9136240601503759,0.9136240601503761,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,2,20,20,0,0,0,0,100,100,1.0,5,0.8618714751296577,0.07882526389497443,0.8618714751296577,0.8618714751296577,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,2,20,14,0,0,6,0,100,72,0.72,1,0.8936162217412217,0.0,0.6434036796536796,0.9234036796536796,True
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,2,20,20,0,0,0,0,100,100,1.0,5,0.8722222222222222,0.08868031084104408,0.8722222222222222,0.8722222222222222,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,2,20,20,0,0,0,0,100,100,1.0,5,0.8800196772924045,0.024510990197858767,0.8800196772924045,0.8800196772924045,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,2,20,20,0,0,0,0,100,100,1.0,5,0.8428947533919731,0.06800090026833862,0.8428947533919731,0.8428947533919731,False
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.3423885358864492,0.01627361965023045,0.3423885358864492,0.34238853588644913,True
deepseek-v4-flash,DeepSeek V4 Flash,llm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.15492283019990977,0.008650833600057204,0.15492283019990977,0.1549228301999098,True
deepseek-v4-flash,DeepSeek V4 Flash,codeact,100,3,80,78,0,0,2,0,175,166,0.9485714285714286,5,0.8505401445007742,0.03155216950413864,0.8067980799264486,0.8582266513550199,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,500,3,80,72,0,0,8,0,175,134,0.7657142857142857,5,0.8117277470737072,0.03376398266176408,0.6215515320450101,0.8558372463307244,False
deepseek-v4-flash,DeepSeek V4 Flash,codeact,1000,3,80,45,0,0,35,0,175,71,0.4057142857142857,1,0.4746913231497087,0.0,0.19258905110645325,0.7868747653921675,True
deepseek-v4-flash,DeepSeek V4 Flash,rlm,100,3,80,80,0,0,0,0,175,175,1.0,5,0.6946758490551592,0.05185404213623197,0.6946758490551592,0.6946758490551591,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,500,3,80,80,0,0,0,0,175,175,1.0,5,0.6870955382226502,0.02949317738343822,0.6870955382226502,0.6870955382226501,False
deepseek-v4-flash,DeepSeek V4 Flash,rlm,full,3,80,80,0,0,0,0,175,175,1.0,5,0.49765382590144086,0.028949693736936104,0.49765382590144086,0.4976538259014407,False
deepseek-v4-flash,DeepSeek V4 Flash,llm,100,4,45,45,0,0,0,0,175,175,1.0,5,0.1441091623153479,0.030664252068748843,0.1441091623153479,0.14410916231534787,True
