project,task_family,task_number,model_name,context_size,run_id,run_name,created_at,sample_id,metric,value,sample_cost_usd
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,0,accuracy,0.0,0.033634500000000005
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,1,accuracy,0.0,0.02177825
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,10,accuracy,1.0,0.0302165
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,11,accuracy,1.0,0.0308485
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,12,accuracy,1.0,0.02923025
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,13,accuracy,0.0,0.0309265
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,14,accuracy,1.0,0.031836249999999996
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,15,accuracy,0.0,0.0321896
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,16,accuracy,1.0,0.029772
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,17,accuracy,0.0,0.033556499999999996
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,18,accuracy,0.0,0.032927
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,19,accuracy,0.0,0.0432956
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,2,accuracy,1.0,0.0297095
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,3,accuracy,0.0,0.02929525
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,4,accuracy,1.0,0.030443
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,5,accuracy,1.0,0.0319045
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,6,accuracy,1.0,0.03008035
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,7,accuracy,1.0,0.03143175
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,8,accuracy,1.0,0.0299995
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,bhnsabgw,peachy-thunder-44,2026-03-19T21:05:34Z,9,accuracy,1.0,0.03121435
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,0,accuracy,1.0,0.03244225
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,1,accuracy,0.0,0.033448000000000006
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,10,accuracy,0.0,0.03782695
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,11,accuracy,1.0,0.033101
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,12,accuracy,1.0,0.02927925
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,13,accuracy,1.0,0.05166375
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,14,accuracy,0.0,0.03188075
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,15,accuracy,1.0,0.030076
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,16,accuracy,1.0,0.03020435
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,17,accuracy,0.0,0.03695925
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,18,accuracy,0.0,0.03237
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,19,accuracy,0.0,0.03111675
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,2,accuracy,0.0,0.029907999999999997
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,3,accuracy,1.0,0.029731
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,4,accuracy,1.0,0.029701
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,5,accuracy,1.0,0.03326275000000001
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,6,accuracy,0.0,0.0034322499999999995
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,7,accuracy,0.0,0.033075999999999994
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,8,accuracy,1.0,0.03066175
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,50wt52ai,warm-armadillo-41,2026-03-19T19:02:13Z,9,accuracy,1.0,0.0313475
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,0,accuracy,1.0,0.02898775
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,1,accuracy,1.0,0.03212725
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,qu5d2ead,major-flower-40,2026-03-19T17:52:12Z,10,accuracy,0.0,0.0529276
