project,task_family,task_number,model_name,context_size,metric,sample_count,task_avg_over_samples
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,accuracy,60,0.6166666666666667
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,accuracy,60,0.18333333333333332
CodeAct-Task3,CodeAct,3,openai/gpt-5-mini,100,accuracy,15,0.8
CodeAct-Task3,CodeAct,3,x-ai/grok-4.1-fast,100,accuracy,15,0.4
CodeAct-Task4,CodeAct,4,openai/gpt-5-mini,100,accuracy,15,0.6
CodeAct-Task4,CodeAct,4,x-ai/grok-4.1-fast,100,accuracy,15,0.0
CodeAct-Task5,CodeAct,5,openai/gpt-5-mini,100,accuracy,12,0.9166666666666666
CodeAct-Task5,CodeAct,5,x-ai/grok-4.1-fast,100,accuracy,12,0.0
RLMs-Task2,RLMs,2,openai/gpt-5-mini,0,accuracy,60,1.0
RLMs-Task2,RLMs,2,x-ai/grok-4.1-fast,0,accuracy,60,0.9333333333333333
RLMs-Task3,RLMs,3,openai/gpt-5-mini,0,accuracy,15,1.0
RLMs-Task3,RLMs,3,x-ai/grok-4.1-fast,0,accuracy,15,1.0
RLMs-Task4,RLMs,4,openai/gpt-5-mini,0,accuracy,15,1.0
RLMs-Task4,RLMs,4,x-ai/grok-4.1-fast,0,accuracy,15,1.0
RLMs-Task5,RLMs,5,openai/gpt-5-mini,0,accuracy,12,1.0
RLMs-Task5,RLMs,5,x-ai/grok-4.1-fast,0,accuracy,12,1.0
