project,task_family,task_number,model_name,context_size,run_count,runs_with_cost,avg_total_cost_per_run_usd,avg_cost_per_sample_usd
CodeAct-Task2,CodeAct,2,openai/gpt-5-mini,100,3,3,0.6402526000000001,0.03201263000000001
CodeAct-Task2,CodeAct,2,x-ai/grok-4.1-fast,100,3,3,0.10088130000000001,0.005044065
CodeAct-Task3,CodeAct,3,openai/gpt-5-mini,100,3,3,0.14916786666666668,0.029833573333333332
CodeAct-Task3,CodeAct,3,x-ai/grok-4.1-fast,100,3,3,0.020960850000000003,0.00419217
CodeAct-Task4,CodeAct,4,openai/gpt-5-mini,100,3,3,0.16507761666666668,0.03301552333333333
CodeAct-Task4,CodeAct,4,x-ai/grok-4.1-fast,100,3,3,0.019548933333333334,0.0039097866666666665
CodeAct-Task5,CodeAct,5,openai/gpt-5-mini,100,3,3,0.10593393333333333,0.026483483333333335
CodeAct-Task5,CodeAct,5,x-ai/grok-4.1-fast,100,3,3,0.0162389,0.004059725
RLMs-Task2,RLMs,2,openai/gpt-5-mini,0,3,3,0.10741741666666665,0.005370870833333334
RLMs-Task2,RLMs,2,x-ai/grok-4.1-fast,0,3,3,0.08588108333333333,0.004294054166666666
RLMs-Task3,RLMs,3,openai/gpt-5-mini,0,3,3,0.028015566666666665,0.005603113333333333
RLMs-Task3,RLMs,3,x-ai/grok-4.1-fast,0,3,3,0.024272183333333332,0.0048544366666666665
RLMs-Task4,RLMs,4,openai/gpt-5-mini,0,3,3,0.02872385,0.00574477
RLMs-Task4,RLMs,4,x-ai/grok-4.1-fast,0,3,3,0.021835583333333332,0.004367116666666666
RLMs-Task5,RLMs,5,openai/gpt-5-mini,0,3,3,0.021087866666666667,0.005271966666666667
RLMs-Task5,RLMs,5,x-ai/grok-4.1-fast,0,3,3,0.0144995,0.003624875
