project,run_id,run_name,created_at,sample_id,metric,value
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,0,precision,0.9132390745501284
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,0,recall,0.9964936886395512
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,0,f1,0.9530516431924884
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,1,precision,1.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,1,recall,0.9511111111111112
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,1,f1,0.9749430523917996
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,2,precision,0.5221043788722042
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,2,recall,1.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,2,f1,0.6860296654018627
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,3,precision,0.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,3,recall,0.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,3,f1,0.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,4,precision,0.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,4,recall,0.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,4,f1,0.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,0,precision,0.975376196990424
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,0,recall,1.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,0,f1,0.9875346260387812
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,1,precision,1.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,1,recall,0.9511111111111112
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,1,f1,0.9749430523917996
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,2,precision,1.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,2,recall,0.337691069991955
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,2,f1,0.5048864832356037
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,3,precision,0.09797151488994388
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,3,recall,0.9564606741573034
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,3,f1,0.17773717865065902
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,4,precision,0.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,4,recall,0.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,4,f1,0.0
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,0,precision,0.975223675154852
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,0,recall,0.993688639551192
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,0,f1,0.9843695727683224
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,1,precision,0.9874015748031496
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,1,recall,0.6966666666666667
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,1,f1,0.8169381107491858
