project,run_id,run_name,created_at,metric,sample_count,mean,std,min,max
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,precision,5,0.4870686906844665,0.4290498904550152,0.0,1.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,recall,5,0.5895209599501325,0.4816507460961403,0.0,1.0
RLMs-Task6,n8slehmh,apricot-river-24,2026-04-19T11:49:17Z,f1,5,0.5228048721972302,0.43882420622488966,0.0,0.9749430523917996
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,precision,5,0.6146695423760735,0.46300408459564896,0.0,1.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,recall,5,0.6490525710520739,0.406723106226885,0.0,1.0
RLMs-Task6,e4lx0ttt,faithful-glitter-23,2026-04-19T11:27:03Z,f1,5,0.5290202680633687,0.40321885832686793,0.0,0.9875346260387812
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,precision,5,0.5888140353844152,0.4807800723493844,0.0,0.9874015748031496
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,recall,5,0.5380710612435717,0.4528044218155617,0.0,1.0
RLMs-Task6,lhfutsuj,splendid-leaf-20,2026-04-13T08:59:35Z,f1,5,0.5583886536590705,0.4601610048099976,0.0,0.9906355847778444
RLMs-Task6,ynb4cdjc,giddy-plant-19,2026-04-13T08:36:07Z,precision,5,0.6043509534432853,0.45456104625246035,0.0,1.0
RLMs-Task6,ynb4cdjc,giddy-plant-19,2026-04-13T08:36:07Z,recall,5,0.7460765225066645,0.37416255964525685,0.0,0.9758648431214804
RLMs-Task6,ynb4cdjc,giddy-plant-19,2026-04-13T08:36:07Z,f1,5,0.6102985263152378,0.429316117606055,0.0,0.987583960920008
RLMs-Task6,tdp4v0hs,blooming-totem-18,2026-04-13T08:06:11Z,precision,5,0.2995180500272204,0.39383014904849445,0.0,0.975376196990424
RLMs-Task6,tdp4v0hs,blooming-totem-18,2026-04-13T08:06:11Z,recall,5,0.4,0.4898979485566356,0.0,1.0
RLMs-Task6,tdp4v0hs,blooming-totem-18,2026-04-13T08:06:11Z,f1,5,0.3347317923850142,0.42089532612148034,0.0,0.9875346260387812
RLMs-Task7,bgbaffof,clear-deluge-7,2026-04-19T12:12:58Z,precision,6,0.6531084656084656,0.42548062532581293,0.0,1.0
RLMs-Task7,bgbaffof,clear-deluge-7,2026-04-19T12:12:58Z,recall,6,0.6917310763706734,0.4198523096534651,0.0,1.0
RLMs-Task7,bgbaffof,clear-deluge-7,2026-04-19T12:12:58Z,f1,6,0.6684968075925983,0.4215040588181814,0.0,1.0
RLMs-Task7,9hkelzlr,upbeat-snowball-6,2026-04-19T11:50:18Z,precision,6,0.6968873517786561,0.40852939794059584,0.0,1.0
RLMs-Task7,9hkelzlr,upbeat-snowball-6,2026-04-19T11:50:18Z,recall,6,0.804319248826291,0.36424639898910494,0.0,1.0
RLMs-Task7,9hkelzlr,upbeat-snowball-6,2026-04-19T11:50:18Z,f1,6,0.7249319914130147,0.38945901468628596,0.0,1.0
RLMs-Task7,xlzpixtu,different-waterfall-5,2026-04-13T12:23:47Z,precision,6,0.6666666666666666,0.4714045207910317,0.0,1.0
RLMs-Task7,xlzpixtu,different-waterfall-5,2026-04-13T12:23:47Z,recall,6,0.5886384976525821,0.44329895474599407,0.0,1.0
RLMs-Task7,xlzpixtu,different-waterfall-5,2026-04-13T12:23:47Z,f1,6,0.6172771672771673,0.44738059993982165,0.0,1.0
RLMs-Task7,bxnz9ctb,eternal-water-4,2026-04-13T11:55:36Z,precision,6,0.7172890295358649,0.3839980056240845,0.0,1.0
RLMs-Task7,bxnz9ctb,eternal-water-4,2026-04-13T11:55:36Z,recall,6,0.7515014164305949,0.3709651504298614,0.0,1.0
RLMs-Task7,bxnz9ctb,eternal-water-4,2026-04-13T11:55:36Z,f1,6,0.7024941749056208,0.3491335146499254,0.0,1.0
RLMs-Task7,48tk0op4,dutiful-breeze-3,2026-04-13T11:27:04Z,precision,6,0.7043761638733705,0.42314645633775044,0.0,1.0
RLMs-Task7,48tk0op4,dutiful-breeze-3,2026-04-13T11:27:04Z,recall,6,0.735139914083177,0.3643689604187844,0.0,1.0
RLMs-Task7,48tk0op4,dutiful-breeze-3,2026-04-13T11:27:04Z,f1,6,0.6673716119688732,0.3708220062980202,0.0,0.9857142857142858
RLMs-Task8,v10c02pi,dainty-energy-10,2026-04-19T13:42:49Z,precision,4,0.5,0.5,0.0,1.0
RLMs-Task8,v10c02pi,dainty-energy-10,2026-04-19T13:42:49Z,recall,4,0.48823088966033623,0.48829848657270025,0.0,0.9879518072289156
RLMs-Task8,v10c02pi,dainty-energy-10,2026-04-19T13:42:49Z,f1,4,0.4940282642410302,0.4940457771522794,0.0,0.993939393939394
RLMs-Task8,v8kfv2ky,prime-butterfly-9,2026-04-19T13:24:31Z,precision,4,0.678880985662095,0.23090111606382063,0.3456079785193709,0.9951690821256038
RLMs-Task8,v8kfv2ky,prime-butterfly-9,2026-04-19T13:24:31Z,recall,4,0.9339720887089974,0.09637782434447328,0.7686567164179104,1.0
RLMs-Task8,v8kfv2ky,prime-butterfly-9,2026-04-19T13:24:31Z,f1,4,0.7497953069196245,0.13974228260190544,0.5136830102622577,0.8673684210526316
RLMs-Task8,1054ukow,stoic-night-8,2026-04-19T12:12:29Z,precision,4,0.9253400959345758,0.1202970484472565,0.717283950617284,1.0
RLMs-Task8,1054ukow,stoic-night-8,2026-04-19T12:12:29Z,recall,4,0.9334071169575849,0.09618763534110385,0.7686567164179104,1.0
RLMs-Task8,1054ukow,stoic-night-8,2026-04-19T12:12:29Z,f1,4,0.9201680979710587,0.07187144174934955,0.8353702372393961,1.0
RLMs-Task8,zyiqdd1w,polar-jazz-7,2026-04-13T14:31:22Z,precision,4,0.696558354077376,0.2868239018901108,0.3456079785193709,1.0
RLMs-Task8,zyiqdd1w,polar-jazz-7,2026-04-13T14:31:22Z,recall,4,0.9240785192738719,0.09414587645885977,0.7686567164179104,1.0
RLMs-Task8,zyiqdd1w,polar-jazz-7,2026-04-13T14:31:22Z,f1,4,0.7442898503034616,0.1711051232104238,0.5136830102622577,0.9433240944279844
RLMs-Task8,o3f3u4mo,sunny-snowball-5,2026-04-13T13:54:09Z,precision,4,0.2981029288824337,0.23143843999424904,0.0,0.6488945041061276
RLMs-Task8,o3f3u4mo,sunny-snowball-5,2026-04-13T13:54:09Z,recall,4,0.49211885487815166,0.49163368478014197,0.0,1.0
RLMs-Task8,o3f3u4mo,sunny-snowball-5,2026-04-13T13:54:09Z,f1,4,0.30825352377597803,0.3275533294982715,0.0,0.776710775047259
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,precision,5,0.6268992371270511,0.2825465365719152,0.39337336001778966,0.9871794871794872
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,recall,5,0.7670863040626793,0.27598364497526107,0.27898550724637683,1.0
RLMs-Task9,ybgipoyp,floral-totem-8,2026-04-19T13:53:56Z,f1,5,0.6023354716027609,0.18463542777208264,0.4350282485875706,0.9583333333333334
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,precision,5,0.5230499713801351,0.39164628312077765,0.0,1.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,recall,5,0.5917218390804598,0.48326580256704516,0.0,1.0
RLMs-Task9,9uemtq3h,likely-lion-7,2026-04-19T13:24:58Z,f1,5,0.3894611594027492,0.3603745980482852,0.0,0.9583333333333334
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,precision,5,0.4860471204188482,0.43815191719361407,0.0,1.0
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,recall,5,0.38573396508884555,0.3914830728843483,0.0,0.9583333333333334
RLMs-Task9,nebgb5bj,jumping-pond-6,2026-04-13T20:20:29Z,f1,5,0.38358175349276885,0.36351778883666797,0.0,0.9583333333333334
RLMs-Task9,s72yjge5,clean-totem-5,2026-04-13T18:49:46Z,precision,5,0.7852653198661961,0.393199196943468,0.0,1.0
RLMs-Task9,s72yjge5,clean-totem-5,2026-04-13T18:49:46Z,recall,5,0.7054161176307465,0.37925296136181913,0.0,0.984551724137931
RLMs-Task9,s72yjge5,clean-totem-5,2026-04-13T18:49:46Z,f1,5,0.7358846348407299,0.37725094825156386,0.0,0.9842801985659128
RLMs-Task9,e0mfn5y4,wild-star-3,2026-04-13T18:10:05Z,precision,5,0.786390977443609,0.39395500086959023,0.0,1.0
RLMs-Task9,e0mfn5y4,wild-star-3,2026-04-13T18:10:05Z,recall,5,0.4262602891631524,0.4420335574650915,0.0,0.960144927536232
RLMs-Task9,e0mfn5y4,wild-star-3,2026-04-13T18:10:05Z,f1,5,0.46070857282649985,0.4411000307588317,0.0,0.9787234042553192
RLMs-Task10,lthhknoo,balmy-waterfall-6,2026-04-19T15:36:58Z,precision,4,0.3538689740600514,0.40245918476605314,0.0016207455429497568,1.0
RLMs-Task10,lthhknoo,balmy-waterfall-6,2026-04-19T15:36:58Z,recall,4,0.875,0.21650635094610965,0.5,1.0
RLMs-Task10,lthhknoo,balmy-waterfall-6,2026-04-19T15:36:58Z,f1,4,0.4039011887860838,0.40599754905613444,0.003231017770597738,1.0
RLMs-Task10,4rgysdd8,giddy-tree-4,2026-04-19T13:56:26Z,precision,4,0.5,0.5,0.0,1.0
RLMs-Task10,4rgysdd8,giddy-tree-4,2026-04-19T13:56:26Z,recall,4,0.5,0.5,0.0,1.0
RLMs-Task10,4rgysdd8,giddy-tree-4,2026-04-19T13:56:26Z,f1,4,0.5,0.5,0.0,1.0
RLMs-Task10,p6kt0ebr,stoic-wave-3,2026-04-14T16:03:07Z,precision,4,0.3466491224474451,0.4084325755484798,0.0006947660954145438,1.0
RLMs-Task10,p6kt0ebr,stoic-wave-3,2026-04-14T16:03:07Z,recall,4,0.7,0.3082207001484488,0.3,1.0
RLMs-Task10,p6kt0ebr,stoic-wave-3,2026-04-14T16:03:07Z,f1,4,0.38987698841281293,0.4185194791074129,0.0013863216266173754,1.0
RLMs-Task10,mt0dznod,sandy-wind-2,2026-04-14T15:02:58Z,precision,4,0.34689979937385806,0.40822043244721573,0.0012434717731907483,1.0
RLMs-Task10,mt0dznod,sandy-wind-2,2026-04-14T15:02:58Z,recall,4,0.875,0.21650635094610965,0.5,1.0
RLMs-Task10,mt0dznod,sandy-wind-2,2026-04-14T15:02:58Z,f1,4,0.3903770048965457,0.4180560226467956,0.002483854942871336,1.0
RLMs-Task10,06i3gd3e,treasured-haze-1,2026-04-14T14:51:03Z,precision,4,0.3488439267047005,0.406586304353162,0.0014338973329509608,1.0
RLMs-Task10,06i3gd3e,treasured-haze-1,2026-04-14T14:51:03Z,recall,4,0.85,0.20615528128088303,0.5,1.0
RLMs-Task10,06i3gd3e,treasured-haze-1,2026-04-14T14:51:03Z,f1,4,0.3942191719886887,0.4145346664438053,0.0028595939376608523,1.0
