task_family,model_name,context_size,metric,task_count,family_model_avg_over_tasks
CodeAct,openai/gpt-5-mini,100,f1,5,0.45001443400021823
CodeAct,openai/gpt-5-mini,100,precision,5,0.6155047637547638
CodeAct,openai/gpt-5-mini,100,recall,5,0.42215757575757573
CodeAct,openai/gpt-5-mini,500,f1,5,0.05733461407420936
CodeAct,openai/gpt-5-mini,500,precision,5,0.327
CodeAct,openai/gpt-5-mini,500,recall,5,0.042664239744176304
CodeAct,x-ai/grok-4-fast,100,f1,5,0.4661081351020105
CodeAct,x-ai/grok-4-fast,100,precision,5,0.5755050249817796
CodeAct,x-ai/grok-4-fast,100,recall,5,0.4414213852813853
CodeAct,x-ai/grok-4-fast,500,f1,5,0.07064011970923596
CodeAct,x-ai/grok-4-fast,500,precision,5,0.19640421282577847
CodeAct,x-ai/grok-4-fast,500,recall,5,0.052368551837057575
RLMs,openai/gpt-5-mini,0,f1,5,0.5521078742095196
RLMs,openai/gpt-5-mini,0,precision,5,0.5694218305102744
RLMs,openai/gpt-5-mini,0,recall,5,0.6776830901048235
RLMs,x-ai/grok-4-fast,0,f1,5,0.47684312253962585
RLMs,x-ai/grok-4-fast,0,precision,5,0.56335881987687
RLMs,x-ai/grok-4-fast,0,recall,5,0.5158046192694699
