task_number,metric,left_family,left_avg,right_family,right_avg,delta_left_minus_right
6,f1,CodeAct,0.38532498985629093,RLMs,0.4394300243603774,-0.05410503450408649
6,precision,CodeAct,0.5840476190476191,RLMs,0.5247408731876642,0.05930674585995499
6,recall,CodeAct,0.33302857142857145,RLMs,0.4493591169355946,-0.11633054550702315
7,f1,CodeAct,0.6342703537508648,RLMs,0.6160835616717654,0.018186792079099456
7,precision,CodeAct,0.7309683850632127,RLMs,0.6355690529036402,0.09539933215957253
7,recall,CodeAct,0.616969696969697,RLMs,0.6266498889014098,-0.009680191931712878
8,f1,CodeAct,0.2867791197887128,RLMs,0.6588165508029826,-0.37203743101426984
8,precision,CodeAct,0.5123106060606061,RLMs,0.742018031896283,-0.22970742583567694
8,recall,CodeAct,0.22529761904761905,RLMs,0.6716904954769478,-0.4463928764293288
9,f1,CodeAct,0.2743449999081926,RLMs,0.4671476042630358,-0.1928026043548432
9,precision,CodeAct,0.43193227513227517,RLMs,0.5678280033838579,-0.1358957282515827
9,recall,CodeAct,0.24365151515151517,RLMs,0.4903947721217812,-0.246743256970266
10,f1,CodeAct,0.7095869594515105,RLMs,0.3908997507747024,0.3186872086768081
10,precision,CodeAct,0.7182655865376454,RLMs,0.36179566459641554,0.35646992194122984
10,recall,CodeAct,0.74,RLMs,0.745625,-0.005624999999999991
