model_name,context_size,metric,task_count,overall_avg_over_tasks
openai/gpt-5-mini,0,f1,5,0.5521078742095196
openai/gpt-5-mini,0,precision,5,0.5694218305102744
openai/gpt-5-mini,0,recall,5,0.6776830901048235
openai/gpt-5-mini,100,f1,5,0.45001443400021823
openai/gpt-5-mini,100,precision,5,0.6155047637547638
openai/gpt-5-mini,100,recall,5,0.42215757575757573
openai/gpt-5-mini,500,f1,5,0.05733461407420936
openai/gpt-5-mini,500,precision,5,0.327
openai/gpt-5-mini,500,recall,5,0.042664239744176304
x-ai/grok-4-fast,0,f1,5,0.47684312253962585
x-ai/grok-4-fast,0,precision,5,0.56335881987687
x-ai/grok-4-fast,0,recall,5,0.5158046192694699
x-ai/grok-4-fast,100,f1,5,0.4661081351020105
x-ai/grok-4-fast,100,precision,5,0.5755050249817796
x-ai/grok-4-fast,100,recall,5,0.4414213852813853
x-ai/grok-4-fast,500,f1,5,0.07064011970923596
x-ai/grok-4-fast,500,precision,5,0.19640421282577847
x-ai/grok-4-fast,500,recall,5,0.052368551837057575
