project,task_family,task_number,model_name,context_size,run_id,run_name,created_at,sample_count,samples_with_cost,total_cost_usd,avg_cost_per_sample_usd
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,cb9u0yjc,mild-tree-1,2026-04-21T13:59:47Z,4,4,0.11759505,0.0293987625
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,uds4jhbr,tough-microwave-2,2026-04-21T14:16:35Z,4,4,0.12962585,0.0324064625
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,3h0s0mxr,vibrant-sound-3,2026-04-21T14:31:43Z,4,4,0.1267391,0.031684775
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,n2wve4es,comic-hill-4,2026-04-21T14:44:28Z,4,4,0.1269861,0.031746525
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,spwsl6f7,peachy-river-5,2026-04-21T14:53:27Z,4,4,0.1234946,0.03087365
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,2h891b2n,eager-lake-16,2026-04-25T16:11:29Z,4,4,0.25301914999999997,0.06325478749999999
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,d501i918,peach-tree-17,2026-04-25T16:32:50Z,4,4,0.2969706,0.07424265
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,vi4jxqyr,hearty-lion-19,2026-04-25T17:44:03Z,4,4,0.1971698,0.04929245
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,l08leqsn,rich-leaf-20,2026-04-25T17:58:48Z,4,4,0.2444297,0.061107425
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,aot1ogsy,expert-jazz-24,2026-04-25T19:17:38Z,4,4,0.30017995000000003,0.07504498750000001
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,7na76ssk,ancient-sky-6,2026-04-22T21:34:33Z,4,4,0.0724163,0.018104075
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,mtuj2ve6,wobbly-frog-7,2026-04-22T21:39:04Z,4,4,0.07483864999999999,0.0187096625
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,6xg989by,hopeful-cosmos-8,2026-04-22T21:44:10Z,4,4,0.0577025,0.014425625
