project,task_family,task_number,model_name,context_size,sample_id,metric,run_count,sample_avg_over_runs
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,0,f1,5,0.9904761904761905
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,0,precision,5,0.9818181818181818
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,0,recall,5,1.0
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,1,f1,5,0.9904761904761905
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,1,precision,5,0.9818181818181818
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,1,recall,5,1.0
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,2,f1,5,0.6050911592707259
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,2,precision,5,0.675
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,2,recall,5,0.6
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,3,f1,5,0.3570175438596491
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,3,precision,5,0.33650793650793653
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,100,3,recall,5,0.42
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,0,f1,5,0.42000000000000004
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,0,precision,5,0.46
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,0,recall,5,0.4
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,1,f1,5,0.1696969696969697
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,1,precision,5,0.6
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,1,recall,5,0.1
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,2,f1,5,0.22771929824561404
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,2,precision,5,0.31555555555555553
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,2,recall,5,0.18000000000000002
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,3,f1,5,0.0
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,3,precision,5,0.0
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,500,3,recall,5,0.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,0,f1,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,0,precision,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,0,recall,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,1,f1,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,1,precision,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,1,recall,5,1.0
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,2,f1,5,0.18451178451178452
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,2,precision,5,0.13764705882352943
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,100,2,recall,5,0.4
