project,task_family,task_number,model_name,metric,sample_count,task_avg_over_samples
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,f1,4,0.735765271020689
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,precision,4,0.7437860750360751
CodeAct-Task10,CodeAct,10,openai/gpt-5-mini,recall,4,0.755
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,f1,4,0.683408647882332
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,precision,4,0.6927450980392157
CodeAct-Task10,CodeAct,10,x-ai/grok-4-fast,recall,4,0.725
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,f1,5,0.4118022910218032
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,precision,5,0.6135497835497836
CodeAct-Task6,CodeAct,6,openai/gpt-5-mini,recall,5,0.36676190476190473
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,f1,5,0.3588476886907787
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,precision,5,0.5545454545454546
CodeAct-Task6,CodeAct,6,x-ai/grok-4-fast,recall,5,0.2992952380952381
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,f1,6,0.5690117992863988
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,precision,6,0.7150641025641026
CodeAct-Task7,CodeAct,7,openai/gpt-5-mini,recall,6,0.5289393939393939
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,f1,6,0.6995289082153309
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,precision,6,0.7468726675623227
CodeAct-Task7,CodeAct,7,x-ai/grok-4-fast,recall,6,0.705
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,f1,4,0.23727541543881397
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,precision,4,0.5329545454545455
CodeAct-Task8,CodeAct,8,openai/gpt-5-mini,recall,4,0.1869047619047619
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,f1,4,0.3362828241386116
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,precision,4,0.4916666666666667
CodeAct-Task8,CodeAct,8,x-ai/grok-4-fast,recall,4,0.2636904761904762
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,f1,5,0.2962173932333861
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,precision,5,0.4721693121693122
CodeAct-Task9,CodeAct,9,openai/gpt-5-mini,recall,5,0.2731818181818182
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,f1,5,0.2524726065829992
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,precision,5,0.3916952380952381
CodeAct-Task9,CodeAct,9,x-ai/grok-4-fast,recall,5,0.21412121212121213
RLMs-Task10,RLMs,10,openai/gpt-5-mini,f1,4,0.41567487081682625
RLMs-Task10,RLMs,10,openai/gpt-5-mini,precision,4,0.379252364517211
RLMs-Task10,RLMs,10,openai/gpt-5-mini,recall,4,0.76
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,f1,4,0.36612463073257856
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,precision,4,0.34433896467562014
RLMs-Task10,RLMs,10,x-ai/grok-4-fast,recall,4,0.73125
RLMs-Task6,RLMs,6,openai/gpt-5-mini,f1,5,0.5110488225239843
RLMs-Task6,RLMs,6,openai/gpt-5-mini,precision,5,0.5188842543830922
RLMs-Task6,RLMs,6,openai/gpt-5-mini,recall,5,0.5845442229504886
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,f1,5,0.36781122619677054
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,precision,5,0.530597491992236
RLMs-Task6,RLMs,6,x-ai/grok-4-fast,recall,5,0.3141740109207007
RLMs-Task7,RLMs,7,openai/gpt-5-mini,f1,6,0.6761143506314549
RLMs-Task7,RLMs,7,openai/gpt-5-mini,precision,6,0.6876655354926048
RLMs-Task7,RLMs,7,openai/gpt-5-mini,recall,6,0.7142660306726637
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,f1,6,0.5560527727120759
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,precision,6,0.5834725703146756
RLMs-Task7,RLMs,7,x-ai/grok-4-fast,recall,6,0.5390337471301558
RLMs-Task8,RLMs,8,openai/gpt-5-mini,f1,4,0.6433070086422306
RLMs-Task8,RLMs,8,openai/gpt-5-mini,precision,4,0.6197764729112961
RLMs-Task8,RLMs,8,openai/gpt-5-mini,recall,4,0.7543614938957884
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,f1,4,0.6743260929637346
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,precision,4,0.8642595908812699
RLMs-Task8,RLMs,8,x-ai/grok-4-fast,recall,4,0.5890194970581071
RLMs-Task9,RLMs,9,openai/gpt-5-mini,f1,5,0.5143943184331018
RLMs-Task9,RLMs,9,openai/gpt-5-mini,precision,5,0.6415305252471678
RLMs-Task9,RLMs,9,openai/gpt-5-mini,recall,5,0.5752437030051767
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,f1,5,0.41990089009296977
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,precision,5,0.4941254815205479
RLMs-Task9,RLMs,9,x-ai/grok-4-fast,recall,5,0.40554584123838566
